id,text,annotation,iteration,ka_mean,ka_lower,ka_upper
0,"concessionary public-transport fares free TV licences for the over-75s AND FREE EYE TESTS AND PRESCRIPTIONS. Saving for pensions. As a country, we need to save more for retirement - individuals, employers, and the Government will all need to play their part. We will support ten million low-and middle-income people to build up savings through automatic enrolment in occupational pensions and new Personal Pension Accounts, ensuring that everyone in work is entitled to matched contributions from employers and government.",0,0,,,
1,Pay travelling costs for patients who cannot afford transport out of their districts Appoint more hospital doctors and negotiate with consultants so that they give priority to their NHS waiting lists rather than on private practice ENSURE AN INCREASED NUMBER OF PLACES IN LOCAL HOSPITALS FOR CONVALESCENCE AND COMMUNITY CARE TO RELEASE BEDS FOR ACUTE TREATMENT. GPs will need to have full computerised information on waiting lists when they make their first referrals. There are already substantial funds within the NHS for computerisation and the Alliance will ensure all GPs can be linked to hospitals nation-wide.,0,0,,,
2,"New capital investment building up to £1.5 billion per annum will support the framework of services on which industry and society depend, like transport, homes, schools, hospitals and drainage. We will give more spending power to the poorest people in our society, which will itself generate more economic activity with much less impact on imports than general cuts in income tax WE WILL CONTROL INFLATION BY WINNING THE SUPPORT OF THE BRITISH PEOPLE FOR OUR INCOMES STRATEGY as a back-up we will legislate for reserve powers for a counter-inflation tax on companies under which inflationary increases would be unattractive because they would go in extra tax: profit-sharing would be exempted. We would introduce fairer arrangements for public sector pay, with an independent pay and information board whose findings would inform and assist negotiations, arbitration procedures and incentives to negotiate no-strike agreements in essential services",0,0,,,
3,"Labour is pledged to create a new Working Age Agency, JobCentre Plus, merging the old Employment Service and Benefits Agency, and focusing on the key skill needs of areas of the country and sectors of the economy. Whoever you are, wherever you live, you will get the opportunities suited to your needs from one office, one adviser, one system. THE NEW DEALS FOR YOUNG PEOPLE AND OLDER WORKERS WILL FOCUS ON NUMERACY, LITERACY, IT SKILLS AND PRESENTATION. Where people are homeless or suffer drug or mental health problems we will offer specialist support. More than 140,000 adults aged over 25 have been unemployed for over 18 months.",0,0,,,
4,Education spending that was 4.7 per cent of national income in 1997 will rise to 5.5 per cent this year. We will continue to raise the share of national income devoted to education. AND WE WILL CONTINUE TO RECOGNISE THE ADDITIONAL NEEDS OF DISADVANTAGED PUPILS. We will also ensure fundamental reform in the way the money is spent. Funding will be allocated on a multi-year timescale.,0,0,,,
5,"We will:  Protect workers on low incomes by reviewing the national minimum wage annually on the basis of recommendations from the Low Pay Commission. The minimum wage has proved an effective way of protecting workers on low incomes, without causing damage to business. WE BELIEVE IT IS WRONG TO SET A LOWER RATE MINIMUM WAGE FOR WORKERS UNDER 21. We will set the same rate for all people aged 16 and over. Alleviate child poverty by paying an additional £200 per year to all families with children who have been on income support for more than a year.",0,0,,,
6,"The new Conservative policies met bitter resistance every step of the way. Remember: The year-long coal strike, with its violence and intimidation on a massive scale. IT FAILED AND MINING PRODUCTIVITY HAS SINCE SOARED. The battle we had to fight to ensure that Britain paid no more than its fair share of the European Community Budget. We now get automatic rebates - this year, over £1.3 billion.",1,0,,,
7,Widows and widowers find supporting children particularly difficult. Conservatives will give extra help to all widows and widowers with dependent children by removing tax on the Widowed Mother's Allowance and the new Widowed Parent's Allowance. THIS WILL PROVIDE A VALUABLE INCREASE OF UP TO £20 PER WEEK IN WIDOWED PARENTS'INCOME. It is right to boost the incomes of families with modest earnings. We will reform the Working Families Tax Credit so it is once more paid as a benefit direct to the caring parent.,1,0,,,
8,"We will introduce deposit refund schemes and back EU-wide standards for product design, energy efficiency and reuse. Help people to choose environmentally friendly products. WE WILL PRESS FOR COMPREHENSIVE AND UNDERSTANDABLE EU-WIDE ECOLOGICALLY FRIENDLY AND ENERGY EFFICIENT LABELLING SCHEMES. Promoting animal welfare. The way a society treats animals is a measure of its civilisation. We will: Promote animal welfare.",0,0,,,
9,"We will give them that chance. Our plans for the railways are designed to bring better services for all passengers as rapidly as possible. WE BELIEVE THAT FRANCHISING PROVIDES THE BEST WAY OF ACHIEVING THAT. Long term, as performance improves and services become more commercially attractive as a result of bringing in private sector disciplines, it will make sense to consider whether some services can be sold outright. In the next Parliament: By franchising, we will give the private sector the fullest opportunity to operate existing passenger railway services.",1,0,,,
