id,text,annotation,iteration,ka_mean,ka_lower,ka_upper
0,Economy,26,0,,,
1,Poor Government,"4 - Pol-neg i.e., complaints about politics",0,,,
2,COVID 19,48,0,,,
3,immigration,12,0,,,
4,The cost of living crisis,32 for Living costs,0,,,
5,Covid,48,0,,,
6,coved19,48 (Coronavirus),0,,,
7,the economy,26,0,,,
8,NHS,1,0,,,
9,Cost of living,32,0,,,
10,COVID,48,0,,,
11,Cost of living,32,0,,,
12,Global warming,40 Environment,0,,,
13,Immigration,12,0,,,
14,underfunded nhs,1,0,,,
15,The economy,26,0,,,
16,cost of living energy prices,32,0,,,
17,Corruption in parliament,"4 - Pol-neg i.e., complaints about politics",0,,,
18,Covid,48,0,,,
19,COVID,48,0,,,
20,War in Ukraine,22 - War,0,,,
21,Brexit & Covid,"15, 48",0,,,
22,the Ukraine conflict,22 for War,0,,,
23,underlying health probems that have not been dealt with during the pandemic,1,0,,,
24,Economy,26,0,,,
25,Covid-19,48,0,,,
26,covid 19,48 for Coronavirus,0,,,
27,COVID-19,48,0,,,
28,Cost of living,32,0,,,
29,Immigration,12,0,,,
30,Cost of living,32,0,,,
31,Brexit,15,0,,,
32,immigration,12,0,,,
33,The economy,26,0,,,
34,crime,"I'm sorry, but I need to see the open-ended response in order to assign a category to it.",0,,,
35,Covid,48,0,,,
36,Cover 19 Indian strain,48 - Coronavirus,0,,,
37,EU aggression,22 for War,0,,,
38,COVID 19,48 (Coronavirus),0,,,
39,rejoining the eu,15,0,,,
40,Recovery from Covid-19,48 for Coronavirus,0,,,
41,Covid,48,0,,,
42,Cost of Living,32,0,,,
43,Rising living costs,32,0,,,
44,This lying cheating dishonest government,"4 - Pol-neg i.e., complaints about politics",0,,,
45,illegal migrants,12 for Immigration,0,,,
46,covie vir 19,48 for Coronavirus,0,,,
47,Economic recovery,26 - Economy-general,0,,,
48,Immigration,12,0,,,
49,Corona virus pandemic,48,0,,,
50,COVID,48,0,,,
51,Virus,48,0,,,
52,Cost of Living,32,0,,,
53,Climate change,40 Environment,0,,,
54,Brexit,15,0,,,
55,Covid,48,0,,,
56,Covid,48,0,,,
57,Covid hoax,48 for Coronavirus,0,,,
58,Covid 19,48,0,,,
59,Rising prices,31 - Inflation,0,,,
60,Pandemic,48,0,,,
61,Covid 19,48,0,,,
62,NHS backlog,1,0,,,
63,immigraation,12,0,,,
64,Economy,26,0,,,
65,Economy,26,0,,,
66,Coronavirus,48,0,,,
67,Cost of living,32,0,,,
68,Covid,48,0,,,
69,Recovering from Coronavirus,48,0,,,
70,economy,26,0,,,
71,Covid,48,0,,,
72,COVID,48,0,,,
73,Cost of living,32,0,,,
74,Covid,48,0,,,
75,price increases,31 for Inflation,0,,,
76,covid,48,0,,,
77,Covid-19,48,0,,,
78,Elitism and corruption,"4 - Pol-neg i.e., complaints about politics",0,,,
79,SLEEZE,"4 - Pol-neg i.e., complaints about politics",0,,,
80,Health crisis,48,0,,,
81,Economy,26,0,,,
82,cost of living,32,0,,,
83,Covid,48,0,,,
84,Covid 19,48,0,,,
85,Covid,48,0,,,
86,Incompetent & dishonest government,"4 - Pol-neg i.e., complaints about politics",0,,,
87,The Environment,40,0,,,
88,Cost Of Livinf Crisis and inflation,"32, 31",0,,,
89,effects of covid,48,0,,,
90,illegal immigration,12,0,,,
91,Covid,48,0,,,
92,Covid,48,0,,,
93,covid,48,0,,,
94,covid,48,0,,,
95,Covid,48,0,,,
96,The pandemic,48 - Coronavirus,0,,,
97,omnicrom virus,48 for Coronavirus,0,,,
98,Effects of the war in Ukraine,22 for War,0,,,
99,Cost of Living,32,0,,,
0,Economy,26,1,0.8059440831222167,0.6974245398875295,0.9086007668073337
1,Poor Government,"4 - Pol-neg i.e., complaints about politics",1,0.8059440831222167,0.6974245398875295,0.9086007668073337
2,COVID 19,48,1,0.8059440831222167,0.6974245398875295,0.9086007668073337
3,immigration,12,1,0.8059440831222167,0.6974245398875295,0.9086007668073337
4,The cost of living crisis,32 for Living costs,1,0.8059440831222167,0.6974245398875295,0.9086007668073337
5,Covid,48,1,0.8059440831222167,0.6974245398875295,0.9086007668073337
6,coved19,48 for Coronavirus,1,0.8059440831222167,0.6974245398875295,0.9086007668073337
7,the economy,26,1,0.8059440831222167,0.6974245398875295,0.9086007668073337
8,NHS,1,1,0.8059440831222167,0.6974245398875295,0.9086007668073337
9,Cost of living,32,1,0.8059440831222167,0.6974245398875295,0.9086007668073337
10,COVID,48,1,0.8059440831222167,0.6974245398875295,0.9086007668073337
11,Cost of living,32,1,0.8059440831222167,0.6974245398875295,0.9086007668073337
12,Global warming,40 Environment,1,0.8059440831222167,0.6974245398875295,0.9086007668073337
13,Immigration,12,1,0.8059440831222167,0.6974245398875295,0.9086007668073337
14,underfunded nhs,1,1,0.8059440831222167,0.6974245398875295,0.9086007668073337
15,The economy,26,1,0.8059440831222167,0.6974245398875295,0.9086007668073337
16,cost of living energy prices,32,1,0.8059440831222167,0.6974245398875295,0.9086007668073337
17,Corruption in parliament,4,1,0.8059440831222167,0.6974245398875295,0.9086007668073337
18,Covid,48,1,0.8059440831222167,0.6974245398875295,0.9086007668073337
19,COVID,48,1,0.8059440831222167,0.6974245398875295,0.9086007668073337
20,War in Ukraine,22 for War,1,0.8059440831222167,0.6974245398875295,0.9086007668073337
21,Brexit & Covid,48 for Coronavirus,1,0.8059440831222167,0.6974245398875295,0.9086007668073337
22,the Ukraine conflict,22 - War,1,0.8059440831222167,0.6974245398875295,0.9086007668073337
23,underlying health probems that have not been dealt with during the pandemic,1,1,0.8059440831222167,0.6974245398875295,0.9086007668073337
24,Economy,26,1,0.8059440831222167,0.6974245398875295,0.9086007668073337
25,Covid-19,48,1,0.8059440831222167,0.6974245398875295,0.9086007668073337
26,covid 19,48,1,0.8059440831222167,0.6974245398875295,0.9086007668073337
27,COVID-19,48,1,0.8059440831222167,0.6974245398875295,0.9086007668073337
28,Cost of living,32,1,0.8059440831222167,0.6974245398875295,0.9086007668073337
29,Immigration,12,1,0.8059440831222167,0.6974245398875295,0.9086007668073337
30,Cost of living,32,1,0.8059440831222167,0.6974245398875295,0.9086007668073337
31,Brexit,15,1,0.8059440831222167,0.6974245398875295,0.9086007668073337
32,immigration,12,1,0.8059440831222167,0.6974245398875295,0.9086007668073337
33,The economy,26,1,0.8059440831222167,0.6974245398875295,0.9086007668073337
34,crime,14,1,0.8059440831222167,0.6974245398875295,0.9086007668073337
35,Covid,48,1,0.8059440831222167,0.6974245398875295,0.9086007668073337
