id,text,annotation,prompt_id,prompt,original,temperature,ka_mean,ka_lower,ka_upper
0,"concessionary public-transport fares free TV licences for the over-75s AND FREE EYE TESTS AND PRESCRIPTIONS. Saving for pensions. As a country, we need to save more for retirement - individuals, employers, and the Government will all need to play their part. We will support ten million low-and middle-income people to build up savings through automatic enrolment in occupational pensions and new Personal Pension Accounts, ensuring that everyone in work is entitled to matched contributions from employers and government.","<think>
Alright, so I'm trying to figure out whether this UK party manifesto text is left-wing or right-wing when it comes to economic issues. Let me read through the provided text again.

First, they mention concessionary public-transport fares, free TV licences for over-75s, and free eye tests and prescriptions. These all seem like social welfare measures that are typically associated with left-wing policies because they provide services or financial support to vulnerable groups without requiring them to pay more, which is a hallmark of the left.

Next, there's talk about saving for pensions. They mention that individuals, employers, and the government need to contribute. This includes automatic enrolment in occupational pensions and new Personal Pension Accounts with matched contributions from employers and the government. Matched contributions usually mean some form of public funding or employer matching, which is a way to encourage savings without necessarily increasing individual costs too much.

Now, considering economic policies, left-wing parties often emphasize social spending, progressive taxation, and welfare state expansion. They might support policies that reduce inequality through redistribution. On the other hand, right-wing parties tend to focus on fiscal conservatism, limiting government intervention in markets and reducing public expenditure, except for necessary services like defense or infrastructure.

Looking at the pension savings part, encouraging people to save by matching contributions can be seen as a way to promote financial security, which is more aligned with left-wing economic goals of social welfare. They aim to ensure that everyone has some form of secure retirement income, which is a social democratic approach.

The focus on saving for pensions through automatic enrolment and government support fits into a framework where the state plays a role in providing for citizens' long-term needs, which is typical of left-wing policies.

So putting it all together, the text emphasizes social welfare measures and government intervention to promote economic security. This aligns more with left-wing economic ideologies that prioritize public welfare and social equity over unfettered market forces.
</think>

0",0,The text provided is a UK party manifesto. Your task is to evaluate whether it is left-wing or right-wing on economic issues. Respond with 0 for left-wing or 1 for right-wing. Only respond with a one token integer. Do not respond with anything else.,True,0.1,1.0191847366058937e-16,-1.115774139748282e-15,1.6653345369377348e-15
1,Pay travelling costs for patients who cannot afford transport out of their districts Appoint more hospital doctors and negotiate with consultants so that they give priority to their NHS waiting lists rather than on private practice ENSURE AN INCREASED NUMBER OF PLACES IN LOCAL HOSPITALS FOR CONVALESCENCE AND COMMUNITY CARE TO RELEASE BEDS FOR ACUTE TREATMENT. GPs will need to have full computerised information on waiting lists when they make their first referrals. There are already substantial funds within the NHS for computerisation and the Alliance will ensure all GPs can be linked to hospitals nation-wide.,"<think>
Okay, so I'm trying to figure out whether the provided UK party manifesto is leaning towards left-wing or right-wing economic policies, specifically focusing on economic issues. Let me break down each point in the text and see what they imply.

First, the manifesto mentions paying for travelling costs for patients who can't afford transport. This seems like a social support measure, which is typically associated with left-wing policies that aim to reduce inequality and provide social safety nets. Paying for transportation isn't directly about economics, but it does indicate a focus on public services and helping those in need, which is often a left-wing stance.

Next, there's the point about appointing more hospital doctors and negotiating with consultants to prioritize NHS waiting lists over private practice. This suggests support for the NHS and ensuring that healthcare resources are directed towards public services rather than private entities. The NHS itself is a socialized system, and prioritizing public healthcare might be seen as left-wing because it emphasizes collective health over profit-driven practices.

Then, the manifesto talks about increasing places in local hospitals for convalescence and community care to free up beds for acute treatment. This is about improving access to necessary medical facilities, which again seems like a social policy aimed at providing adequate public services. Resource allocation towards healthcare without privatizing or reducing services aligns with left-wing economic principles that favor state intervention for public welfare.

Another point is about GPs needing full computerized information on waiting lists when making referrals. This is more about streamlining and efficiency within the NHS, possibly using technology to improve service delivery. While this isn't directly an economic policy, it supports the NHS's operational efficiency, which is part of a broader socialized healthcare system that left-wing parties might advocate for.

Looking at these points collectively, there's a strong emphasis on expanding and supporting public healthcare services, ensuring access for all, and using state resources to do so. These are classic signs of left-wing economic policies aimed at providing universal benefits and reducing inequalities through public intervention in areas like healthcare. Therefore, I would classify this manifesto as leaning towards the left on economic issues.
</think>

0",0,The text provided is a UK party manifesto. Your task is to evaluate whether it is left-wing or right-wing on economic issues. Respond with 0 for left-wing or 1 for right-wing. Only respond with a one token integer. Do not respond with anything else.,True,0.1,1.0191847366058937e-16,-1.115774139748282e-15,1.6653345369377348e-15
2,"New capital investment building up to £1.5 billion per annum will support the framework of services on which industry and society depend, like transport, homes, schools, hospitals and drainage. We will give more spending power to the poorest people in our society, which will itself generate more economic activity with much less impact on imports than general cuts in income tax WE WILL CONTROL INFLATION BY WINNING THE SUPPORT OF THE BRITISH PEOPLE FOR OUR INCOMES STRATEGY as a back-up we will legislate for reserve powers for a counter-inflation tax on companies under which inflationary increases would be unattractive because they would go in extra tax: profit-sharing would be exempted. We would introduce fairer arrangements for public sector pay, with an independent pay and information board whose findings would inform and assist negotiations, arbitration procedures and incentives to negotiate no-strike agreements in essential services","<think>
Okay, so I need to evaluate whether the provided UK party manifesto text is left-wing or right-wing on economic issues. The task is to respond with 0 for left-wing or 1 for right-wing, only a single token integer.

First, I'll read through the text carefully. Let's break down each point mentioned:

1. **Capital Investment**: They mention investing up to £1.5 billion per annum in capital projects like transport, homes, schools, hospitals, and drainage. This seems like an infrastructure spending plan, which is often associated with left-wing policies that focus on public works and social welfare.

2. **Supporting the Poorest**: They aim to give more spending power to the poorest people. This directly targets income inequality by redistributing wealth through fiscal measures, a common tactic in left-wing economic strategies.

3. **Control of Inflation**: The text talks about controlling inflation through support from the British people for an incomes strategy. This could involve policies that either raise taxes on high incomes or restrict profit increases, which are typically left-wing approaches to control economic disparity and inflation.

4. **Counter-Inflation Tax**: They plan to legislate reserve powers for a counter-inflation tax on companies. This is a direct intervention in the market to prevent inflation, often seen as a policy that can be either left or right depending on the method, but here it's paired with giving more spending power to the poorest, leaning towards left-wing.

5. **Public Sector Pay**: They propose fairer arrangements and an independent pay board to assist negotiations. This suggests influencing wages in a way that could favor workers over corporations, aligning with left-wing economic policies focused on labor rights and equitable distribution of wealth.

6. **No-Strike Agreements**: Encouraging no-strike agreements in essential services implies a focus on maintaining stability without significant disruptions, which can be seen as a pragmatic approach but often tied to social democratic policies (left-wing).

Comparing these points, the manifesto focuses on increasing public investment, redistributing income through targeted spending and taxation, controlling inflation via taxes on high profits or incomes, and ensuring fairer wages in the public sector. These are all hallmark policies of left-wing economic ideologies.

I don't see any explicitly right-wing economic principles here. Right-wing economic policies often emphasize lower taxes for corporations, free-market principles, deregulation, and limited government intervention. In contrast, this manifesto talks about increasing investment in public goods, giving more money to the poor, controlling inflation through income strategies and taxes on companies, and ensuring fair pay—which are all left-wing stances.

So, based on the analysis, the manifesto's economic policies align with left-wing approaches.
</think>

0",0,The text provided is a UK party manifesto. Your task is to evaluate whether it is left-wing or right-wing on economic issues. Respond with 0 for left-wing or 1 for right-wing. Only respond with a one token integer. Do not respond with anything else.,True,0.1,1.0191847366058937e-16,-1.115774139748282e-15,1.6653345369377348e-15
3,"Labour is pledged to create a new Working Age Agency, JobCentre Plus, merging the old Employment Service and Benefits Agency, and focusing on the key skill needs of areas of the country and sectors of the economy. Whoever you are, wherever you live, you will get the opportunities suited to your needs from one office, one adviser, one system. THE NEW DEALS FOR YOUNG PEOPLE AND OLDER WORKERS WILL FOCUS ON NUMERACY, LITERACY, IT SKILLS AND PRESENTATION. Where people are homeless or suffer drug or mental health problems we will offer specialist support. More than 140,000 adults aged over 25 have been unemployed for over 18 months.","<think>
Alright, so I'm trying to figure out whether the given UK party manifesto is left-wing or right-wing based on economic issues. Let me read through the provided text carefully.

The manifesto mentions creating a new Working Age Agency by merging existing services, focusing on skill needs and providing opportunities tailored to individuals. It emphasizes investments in numeracy, literacy, IT skills, and presentation for young people and older workers. There's also a focus on supporting those facing homelessness or health issues with specialist support. They mention that over 140,000 adults over 25 have been unemployed for over 18 months.

Now, considering economic policies, left-wing parties often focus on social welfare, reducing income inequality, and providing public services. Right-wing parties usually prioritize lower taxes, smaller government, and free-market principles, sometimes cutting social programs.

The text talks about creating a new agency to help with employment and benefits, which sounds like an expansion of social services. Providing training in skills like IT and presentation suggests investment in workforce development, which aligns with left-wing economic policies aimed at creating opportunities and reducing unemployment. The emphasis on support for vulnerable groups such as the homeless and those with health issues also fits a left-wing approach, focusing on social safety nets.

On the other hand, if there were policies promoting deregulation, tax cuts, or minimizing government intervention in the economy, that would lean towards right-wing. But this manifesto seems to be increasing government involvement in employment services and supporting those who are struggling, which is more in line with left-wing economics.

I think the key points here are the focus on creating a single point of contact for employment and benefits, expanding support for various groups, and addressing long-term unemployment. These are all measures that left-wing parties typically advocate for to reduce inequality and provide better social outcomes.
</think>

0",0,The text provided is a UK party manifesto. Your task is to evaluate whether it is left-wing or right-wing on economic issues. Respond with 0 for left-wing or 1 for right-wing. Only respond with a one token integer. Do not respond with anything else.,True,0.1,1.0191847366058937e-16,-1.115774139748282e-15,1.6653345369377348e-15
4,Education spending that was 4.7 per cent of national income in 1997 will rise to 5.5 per cent this year. We will continue to raise the share of national income devoted to education. AND WE WILL CONTINUE TO RECOGNISE THE ADDITIONAL NEEDS OF DISADVANTAGED PUPILS. We will also ensure fundamental reform in the way the money is spent. Funding will be allocated on a multi-year timescale.,"<think>
Alright, so I need to figure out whether the given UK party manifesto is leaning towards left-wing or right-wing economics based on the economic issues mentioned. The text talks about increasing education spending from 4.7% to 5.5% of national income and mentions supporting disadvantaged pupils. It also discusses multi-year funding and reforming how money is spent.

First, I should break down what each side typically focuses on. Left-wing economics often emphasizes social welfare, public services, and redistributing wealth to reduce inequality. They might support higher taxes on the wealthy to fund such initiatives. In contrast, right-wing economics tends to focus more on lower taxes, market deregulation, and limited government intervention. They might favor policies that prioritize economic growth over social spending.

Looking at the manifesto, education spending is being increased, which seems like a left-wing approach because it's an investment in public services and social welfare. The mention of recognizing additional needs of disadvantaged pupils also aligns with left-wing priorities, as they often focus on supporting vulnerable groups.

The text also mentions multi-year funding, which suggests long-term planning, something that could be seen as big government intervention, again leaning towards left-wing policies. Additionally, the emphasis on reforming how money is spent might involve more government oversight or redistribution of resources to ensure equitable spending, which is another left-wing trait.

However, there's no mention of specific tax policies in the provided text. If they were talking about increasing taxes on the wealthy, that would be a strong indicator of left-wing economics. Since it's just about spending without mentioning taxation, maybe it's less clear. But given the focus on social services and disadvantaged groups, it still tilts towards left-wing.

So, considering all these points, the manifesto seems to promote policies typical of left-wing economic strategies.
</think>

0",0,The text provided is a UK party manifesto. Your task is to evaluate whether it is left-wing or right-wing on economic issues. Respond with 0 for left-wing or 1 for right-wing. Only respond with a one token integer. Do not respond with anything else.,True,0.1,1.0191847366058937e-16,-1.115774139748282e-15,1.6653345369377348e-15
5,"We will:  Protect workers on low incomes by reviewing the national minimum wage annually on the basis of recommendations from the Low Pay Commission. The minimum wage has proved an effective way of protecting workers on low incomes, without causing damage to business. WE BELIEVE IT IS WRONG TO SET A LOWER RATE MINIMUM WAGE FOR WORKERS UNDER 21. We will set the same rate for all people aged 16 and over. Alleviate child poverty by paying an additional £200 per year to all families with children who have been on income support for more than a year.","<think>
Okay, so I need to determine whether this UK party manifesto is left-wing or right-wing based on their economic policies. Let me look at the provided text carefully.

First, they mention protecting workers on low incomes by reviewing the national minimum wage annually through the Low Pay Commission. They also state that it's wrong to have a lower rate for workers under 21 and want to set the same rate for all aged 16 and over. This seems like a left-wing approach because it's about safeguarding workers, especially those in low-income groups, which is typically associated with progressive policies.

Next, they plan to alleviate child poverty by giving an additional £200 per year to families on income support who have been on it for more than a year. Alleviating child poverty is another left-wing measure as it focuses on supporting vulnerable families and reducing inequality.

Looking at these points, both actions are aimed at improving the economic well-being of lower-income individuals and families, which aligns with left-wing economic principles. Left-wing policies often emphasize social welfare, minimum wage protections, and reducing poverty through such measures.

I don't see any right-wing economic policies in this excerpt, like cutting benefits or privatizing public services, which are more typical of right-wing approaches. Therefore, based on the content provided, this manifesto seems to promote left-wing economic policies.
</think>

1",0,The text provided is a UK party manifesto. Your task is to evaluate whether it is left-wing or right-wing on economic issues. Respond with 0 for left-wing or 1 for right-wing. Only respond with a one token integer. Do not respond with anything else.,True,0.1,1.0191847366058937e-16,-1.115774139748282e-15,1.6653345369377348e-15
6,"The new Conservative policies met bitter resistance every step of the way. Remember: The year-long coal strike, with its violence and intimidation on a massive scale. IT FAILED AND MINING PRODUCTIVITY HAS SINCE SOARED. The battle we had to fight to ensure that Britain paid no more than its fair share of the European Community Budget. We now get automatic rebates - this year, over £1.3 billion.","<think>
Alright, I need to evaluate whether the provided text is left-wing or right-wing on economic issues by responding with 0 for left-wing or 1 for right-wing.

The text talks about UK Conservative policies facing resistance, mentions a coal strike that failed but led to increased productivity. It also discusses fighting to ensure Britain doesn't overpay into the European Community Budget and getting rebates, specifically £1.3 billion this year.

This seems to support conservative economic policies, such as fiscal conservatism and possibly lower taxes or better budget management. Therefore, the stance appears right-wing on economic issues.

I should respond with 1.
</think>

The provided text supports Conservative policies that can be associated with right-wing economic positions, such as fiscal management and securing financial rebates. Thus, the response is:

1",0,The text provided is a UK party manifesto. Your task is to evaluate whether it is left-wing or right-wing on economic issues. Respond with 0 for left-wing or 1 for right-wing. Only respond with a one token integer. Do not respond with anything else.,True,0.1,1.0191847366058937e-16,-1.115774139748282e-15,1.6653345369377348e-15
7,Widows and widowers find supporting children particularly difficult. Conservatives will give extra help to all widows and widowers with dependent children by removing tax on the Widowed Mother's Allowance and the new Widowed Parent's Allowance. THIS WILL PROVIDE A VALUABLE INCREASE OF UP TO £20 PER WEEK IN WIDOWED PARENTS'INCOME. It is right to boost the incomes of families with modest earnings. We will reform the Working Families Tax Credit so it is once more paid as a benefit direct to the caring parent.,"<think>
Okay, I need to evaluate whether the provided UK party manifesto text is left-wing or right-wing on economic issues and respond with 0 for left-wing or 1 for right-wing. 

First, looking at the key points: supporting widows and widowers with dependent children by removing taxes on certain allowances, increasing their income by up to £20 per week. Also, reforming Working Families Tax Credit to be paid directly to caring parents.

This seems to focus on providing financial support to families, especially those with modest incomes. It's about enhancing benefits for those in need, which aligns with left-wing policies that emphasize social welfare and reducing inequality. Left-wing economics often advocate for progressive taxation and redistribution of wealth to support vulnerable groups. The manifesto is addressing economic issues by increasing benefits and tax credits, so it leans towards a left-wing stance.
</think>

0",0,The text provided is a UK party manifesto. Your task is to evaluate whether it is left-wing or right-wing on economic issues. Respond with 0 for left-wing or 1 for right-wing. Only respond with a one token integer. Do not respond with anything else.,True,0.1,1.0191847366058937e-16,-1.115774139748282e-15,1.6653345369377348e-15
8,"We will introduce deposit refund schemes and back EU-wide standards for product design, energy efficiency and reuse. Help people to choose environmentally friendly products. WE WILL PRESS FOR COMPREHENSIVE AND UNDERSTANDABLE EU-WIDE ECOLOGICALLY FRIENDLY AND ENERGY EFFICIENT LABELLING SCHEMES. Promoting animal welfare. The way a society treats animals is a measure of its civilisation. We will: Promote animal welfare.","<think>
Okay, so I need to evaluate whether the given UK party manifesto text leans towards left-wing or right-wing economic policies. Let me break it down step by step.

First, looking at the content: they mention deposit refund schemes and EU-wide standards for product design, energy efficiency, and reuse. These seem like environmental policies aimed at encouraging sustainable practices. Deposit schemes often relate to reducing waste and promoting recycling, which are typically associated with left-wing environmentalist stances that prioritize sustainability and social welfare over purely capitalist economic growth.

Next, they talk about helping people choose environmentally friendly products and pressing for comprehensive labeling schemes. This implies a focus on consumer education and regulation to ensure products meet certain standards, which can be seen as government intervention in the market. Such interventions are usually associated with left-wing policies that seek to regulate markets for social or environmental benefits.

Then there's a mention of promoting animal welfare, which again ties into social welfare issues and ethical treatment of animals. This is another area often aligned with left-wing values that prioritize the well-being of people and animals over economic interests.

Considering economic policies, left-wing approaches typically emphasize social welfare, regulation of markets to protect workers and the environment, and reducing inequality through progressive taxation and redistribution. In contrast, right-wing economics usually focuses on lowering taxes for corporations and high earners, deregulating industries, and minimizing government intervention in the market.

The manifesto doesn't directly discuss economic policies like taxation, inequality, or labor laws, but the environmental and animal welfare policies suggest a preference for social and ecological well-being over purely economic growth. Therefore, despite not explicitly stating economic stances, the emphasis on sustainability and regulation aligns with left-wing economic principles that prioritize collective welfare over individualistic market dynamics.

So, putting it all together, this manifesto appears to lean towards left-wing economic policies because of its focus on environmental sustainability, social welfare for animals, and promoting standards that involve government intervention in markets.
</think>

0",0,The text provided is a UK party manifesto. Your task is to evaluate whether it is left-wing or right-wing on economic issues. Respond with 0 for left-wing or 1 for right-wing. Only respond with a one token integer. Do not respond with anything else.,True,0.1,1.0191847366058937e-16,-1.115774139748282e-15,1.6653345369377348e-15
9,"We will give them that chance. Our plans for the railways are designed to bring better services for all passengers as rapidly as possible. WE BELIEVE THAT FRANCHISING PROVIDES THE BEST WAY OF ACHIEVING THAT. Long term, as performance improves and services become more commercially attractive as a result of bringing in private sector disciplines, it will make sense to consider whether some services can be sold outright. In the next Parliament: By franchising, we will give the private sector the fullest opportunity to operate existing passenger railway services.","<think>
Alright, I need to evaluate whether the provided UK party manifesto text is left-wing or right-wing on economic issues. The text talks about railways and mentions franchising as a way to bring in private sector disciplines. It also says that long-term, some services might be sold outright. Franchising and privatization are typically associated with right-wing economic policies because they promote market competition and reduce state intervention. Left-wing policies usually favor public ownership and socialized industries. So, this seems right-wing.
</think>

1",0,The text provided is a UK party manifesto. Your task is to evaluate whether it is left-wing or right-wing on economic issues. Respond with 0 for left-wing or 1 for right-wing. Only respond with a one token integer. Do not respond with anything else.,True,0.1,1.0191847366058937e-16,-1.115774139748282e-15,1.6653345369377348e-15
