id,text,annotation,prompt_id,prompt,original,temperature,annotation_cleaned
0,"concessionary public-transport fares free TV licences for the over-75s AND FREE EYE TESTS AND PRESCRIPTIONS. Saving for pensions. As a country, we need to save more for retirement - individuals, employers, and the Government will all need to play their part. We will support ten million low-and middle-income people to build up savings through automatic enrolment in occupational pensions and new Personal Pension Accounts, ensuring that everyone in work is entitled to matched contributions from employers and government.","<think>
Okay, so I'm trying to figure out whether the given text is left-wing or right-wing on economic issues. The text talks about concessionary public transport fares, free TV licences for over-75s, and free eye tests and prescriptions. It also mentions saving for pensions by encouraging individuals, employers, and the government to contribute.

I know that in economics, left-wing policies often focus on increasing social welfare, reducing inequality, and redistributing wealth. They might support things like universal healthcare, free education, and social safety nets. On the other hand, right-wing policies usually emphasize individual responsibility, lower taxes, minimal government intervention, and sometimes privatization of public services.

Looking at the text, it's talking about providing free or concessionary services which seems to be expanding social programs. This could indicate a left-wing approach because they're trying to make certain benefits more accessible. The focus on automatic enrolment for pensions and matching contributions from employers and the government also suggests an effort to ensure that people have some form of social security, which is typically associated with left-wing policies aimed at protecting workers.

However, I'm not entirely sure if this is a comprehensive assessment since party manifestos can blend various policies. The mention of saving for pensions through automatic enrolment might be seen as a right-wing approach because it's about personal responsibility and potentially market-driven solutions. But then again, the government is also contributing, which leans more towards left-wing social welfare.

I'm a bit confused here because pension reform can be part of either depending on the specifics. The text does seem to promote state intervention by requiring employers and the government to contribute, so that might tip it towards left-wing economic policies.
</think>

1",0,The text provided is a UK party manifesto. Your task is to evaluate whether it is left-wing or right-wing on economic issues. Respond with 0 for left-wing or 1 for right-wing. Only respond with a one token integer. Do not respond with anything else.,TRUE,0.1,1
1,Pay travelling costs for patients who cannot afford transport out of their districts Appoint more hospital doctors and negotiate with consultants so that they give priority to their NHS waiting lists rather than on private practice ENSURE AN INCREASED NUMBER OF PLACES IN LOCAL HOSPITALS FOR CONVALESCENCE AND COMMUNITY CARE TO RELEASE BEDS FOR ACUTE TREATMENT. GPs will need to have full computerised information on waiting lists when they make their first referrals. There are already substantial funds within the NHS for computerisation and the Alliance will ensure all GPs can be linked to hospitals nation-wide.,"<think>
Okay, so I'm trying to figure out whether this UK party manifesto is left-wing or right-wing when it comes to economic issues. Let me go through each point step by step.

First, the text talks about paying for patients' travel costs if they can't afford it. That sounds like a social welfare measure, which is typically associated with left-wing policies because they focus on supporting the less affluent. So that's probably a left-wing stance.

Next, there's appointing more hospital doctors and negotiating with consultants to prioritize NHS waiting lists over private practice. This seems aimed at making healthcare more accessible through public services and reducing reliance on private sectors. Again, this is about ensuring access for everyone, which leans towards left-wing economic policies that promote social equality.

Then, the manifesto mentions increasing places in local hospitals for convalescence and community care to free up beds for acute treatment. This suggests an investment in healthcare infrastructure within the public system, which aligns with left-wing economic principles of using public funds to improve public services.

The part about GPs needing full computerized information on waiting lists when making referrals indicates support for modernizing and integrating healthcare IT systems nationwide. Enhancing healthcare technology can be seen as a way to make public services more efficient, another left-wing approach that focuses on universal access and improving public infrastructure.

Now, looking at the overall economic stance: the manifesto seems focused on expanding public services (healthcare), increasing investments in infrastructure (hospitals), and ensuring accessibility through measures like paying for transport. These are all typical of left-wing policies which prioritize social welfare and public goods over market-driven solutions. There's a focus on using existing NHS funds for computerization, indicating support for public investment without necessarily privatizing or cutting costs.

I don't see any right-wing economic principles here, like deregulating markets, privatizing services, or reducing public spending. Instead, it's about expanding and improving public services, which is definitely left-wing.

So, evaluating each point, they all align with left-wing economic policies aimed at social welfare, public service expansion, and equitable access. Therefore, the response should be 0 for left-wing.
</think>

0",0,The text provided is a UK party manifesto. Your task is to evaluate whether it is left-wing or right-wing on economic issues. Respond with 0 for left-wing or 1 for right-wing. Only respond with a one token integer. Do not respond with anything else.,TRUE,0.1,0
2,"New capital investment building up to £1.5 billion per annum will support the framework of services on which industry and society depend, like transport, homes, schools, hospitals and drainage. We will give more spending power to the poorest people in our society, which will itself generate more economic activity with much less impact on imports than general cuts in income tax WE WILL CONTROL INFLATION BY WINNING THE SUPPORT OF THE BRITISH PEOPLE FOR OUR INCOMES STRATEGY as a back-up we will legislate for reserve powers for a counter-inflation tax on companies under which inflationary increases would be unattractive because they would go in extra tax: profit-sharing would be exempted. We would introduce fairer arrangements for public sector pay, with an independent pay and information board whose findings would inform and assist negotiations, arbitration procedures and incentives to negotiate no-strike agreements in essential services","<think>
Okay, I need to determine whether the provided UK party manifesto text is left-wing or right-wing on economic issues. The task is to respond with a 0 for left-wing or 1 for right-wing.

First, I'll read through the text carefully to understand their economic policies. They mention several key points:

1. **Capital Investment**: They plan to invest £1.5 billion per annum in capital projects that support essential services like transport, homes, schools, hospitals, and drainage. This seems like a public investment strategy, which is often associated with left-wing policies that focus on infrastructure and social welfare.

2. **Supporting the Poorest**: They aim to give more spending power to the poorest people. This could involve measures like increasing benefits or reducing taxes for lower-income individuals, which aligns with left-wing economic principles that aim to reduce inequality through progressive taxation and social programs.

3. **Economic Activity Generation**: The text claims that giving more income to the poorest will generate economic activity with less impact on imports compared to general income tax cuts. This suggests a focus on redistributing wealth to stimulate economic activity, which is typical of left-wing approaches.

4. **Inflation Control**: They plan to control inflation by winning public support for their incomes strategy. They mention a backup policy of a reserve powers counter-inflation tax on companies. Profit-sharing would be exempted. This seems like an attempt to stabilize the economy without overly relying on traditional austerity measures, which could be seen as part of a left-wing approach that seeks to balance economic growth with social equity.

5. **Public Sector Pay**: They propose fairer arrangements for public sector pay through an independent pay and information board. This aims to assist negotiations, arbitration procedures, and incentives for no-strike agreements in essential services. This could be seen as an attempt to prevent worker disputes and ensure stable employment, which is often a focus of left-wing policies aimed at maintaining social order and protecting workers.

6. **Progressive Taxation**: While the text doesn't explicitly mention progressive taxation, the emphasis on supporting the poorest through increased spending power suggests that they are looking to implement policies that benefit lower-income individuals, aligning with left-wing economic strategies.

Comparing these points, the manifesto focuses on increasing public investment, redistributing wealth to the poorest, controlling inflation through strategic taxation rather than austerity, and improving public sector pay structures. These are all hallmarks of left-wing economic policies that aim for social equity and redistribution rather than promoting free-market capitalism.

Therefore, the manifesto appears to be leaning towards left-wing economic principles.
</think>

0",0,The text provided is a UK party manifesto. Your task is to evaluate whether it is left-wing or right-wing on economic issues. Respond with 0 for left-wing or 1 for right-wing. Only respond with a one token integer. Do not respond with anything else.,TRUE,0.1,0
3,"Labour is pledged to create a new Working Age Agency, JobCentre Plus, merging the old Employment Service and Benefits Agency, and focusing on the key skill needs of areas of the country and sectors of the economy. Whoever you are, wherever you live, you will get the opportunities suited to your needs from one office, one adviser, one system. THE NEW DEALS FOR YOUNG PEOPLE AND OLDER WORKERS WILL FOCUS ON NUMERACY, LITERACY, IT SKILLS AND PRESENTATION. Where people are homeless or suffer drug or mental health problems we will offer specialist support. More than 140,000 adults aged over 25 have been unemployed for over 18 months.","<think>
Okay, so I'm trying to figure out whether the provided UK party manifesto text is leaning towards left-wing or right-wing economic policies. Let me read through it again and break down the key points.

The manifesto mentions creating a new Working Age Agency by merging existing Employment Service and Benefits agencies. This seems like an effort to streamline services, possibly making it easier for people to access job training and support. It's focusing on skill needs based on regions and sectors, which could be aimed at addressing local economic issues and preparing workers for the job market.

It also talks about a ""new deals"" for young people and older workers, focusing on skills like numeracy, literacy, IT, and presentation. That suggests an emphasis on education and re-skilling, which is often associated with left-wing policies that seek to uplift workers through training and improving their employability.

Additionally, the manifesto mentions providing support for those who are homeless or struggling with drug or mental health issues. This includes specialist support, which indicates a focus on social welfare and healthcare, again aligning with left-wing principles that prioritize social services and community support.

The fact that over 140,000 adults aged over 25 have been unemployed for over 18 months is mentioned. The party seems to recognize long-term unemployment as an issue and wants to address it through their policies. This reflects a concern for vulnerable populations, which is characteristic of left-wing approaches that seek to reduce inequality and provide safety nets.

Looking at these points together, the manifesto emphasizes job creation, re-skilling, support for vulnerable groups, and streamlining services to improve access to opportunities. These are all elements that align with left-wing economic policies aimed at social welfare, equality, and providing support systems.

So, based on this analysis, I would classify the provided text as leaning towards a left-wing economic stance.
</think>

0",0,The text provided is a UK party manifesto. Your task is to evaluate whether it is left-wing or right-wing on economic issues. Respond with 0 for left-wing or 1 for right-wing. Only respond with a one token integer. Do not respond with anything else.,TRUE,0.1,0
4,Education spending that was 4.7 per cent of national income in 1997 will rise to 5.5 per cent this year. We will continue to raise the share of national income devoted to education. AND WE WILL CONTINUE TO RECOGNISE THE ADDITIONAL NEEDS OF DISADVANTAGED PUPILS. We will also ensure fundamental reform in the way the money is spent. Funding will be allocated on a multi-year timescale.,"<think>
Okay, I need to evaluate whether this UK party's manifesto is left-wing or right-wing in terms of economic issues. Let me start by reading through the provided text carefully.

The first point mentions education spending. It says that in 1997, it was 4.7% of national income and will rise to 5.5% this year. So they're increasing spending on education, which is typically seen as a left-wing policy because increased public investment is often associated with progressive values.

Next, the manifesto talks about recognizing the additional needs of disadvantaged pupils. This suggests they want to address inequality in education, again pointing towards a left-wing approach by focusing on social equity and public welfare.

The third point is about reforming how money is spent. They mention multi-year funding, which could imply long-term planning and investment, another left-wing trait as it aligns with social democratic principles of sustainable and equitable resource allocation.

I don't see any right-wing economic policies here, like privatization or reducing public services. Instead, the focus is on increasing spending and addressing social needs, which are hallmark left-wing strategies.
</think>

0",0,The text provided is a UK party manifesto. Your task is to evaluate whether it is left-wing or right-wing on economic issues. Respond with 0 for left-wing or 1 for right-wing. Only respond with a one token integer. Do not respond with anything else.,TRUE,0.1,0
5,"We will:  Protect workers on low incomes by reviewing the national minimum wage annually on the basis of recommendations from the Low Pay Commission. The minimum wage has proved an effective way of protecting workers on low incomes, without causing damage to business. WE BELIEVE IT IS WRONG TO SET A LOWER RATE MINIMUM WAGE FOR WORKERS UNDER 21. We will set the same rate for all people aged 16 and over. Alleviate child poverty by paying an additional £200 per year to all families with children who have been on income support for more than a year.","<think>
Okay, so I need to evaluate whether this UK party manifesto is left-wing or right-wing on economic issues. Let's look at the provided text.

First point: They plan to protect workers on low incomes by reviewing the national minimum wage annually with recommendations from the Low Pay Commission. Raising the minimum wage generally aligns with left-wing policies because it aims to reduce income inequality and support lower-income workers.

Second point: Opposing a lower rate for workers under 21, intending to set the same rate for all people aged 16 and over. This suggests they want to eliminate age-related wage disparities, which is another left-wing stance as it promotes equality.

Third point: Alleviating child poverty by providing additional £200 per year to families on income support. This directly targets low-income families, again fitting with a left-wing approach that aims to reduce poverty and social inequality.

Overall, all the economic policies mentioned are aimed at supporting lower-income groups, raising wages, and reducing disparities, which are典型的左翼经济政策。因此，我应该评分为0，表示左翼。
</think>

0",0,The text provided is a UK party manifesto. Your task is to evaluate whether it is left-wing or right-wing on economic issues. Respond with 0 for left-wing or 1 for right-wing. Only respond with a one token integer. Do not respond with anything else.,TRUE,0.1,0
6,"The new Conservative policies met bitter resistance every step of the way. Remember: The year-long coal strike, with its violence and intimidation on a massive scale. IT FAILED AND MINING PRODUCTIVITY HAS SINCE SOARED. The battle we had to fight to ensure that Britain paid no more than its fair share of the European Community Budget. We now get automatic rebates - this year, over £1.3 billion.","<think>
Alright, I'm trying to figure out whether the provided text is left-wing or right-wing on economic issues. The text talks about the UK Conservative Party's policies and mentions past struggles with strikes and budget negotiations. It highlights successes like the coal strike ending and productivity increasing, as well as obtaining rebates from the EU.

Conservative policies are generally associated with right-wing economics, which often emphasizes fiscal responsibility, limited government intervention, and a free-market approach. The text seems to present these policies as successful, which aligns with right-wing economic principles. Therefore, I think the response should be 1 for right-wing.
</think>

1",0,The text provided is a UK party manifesto. Your task is to evaluate whether it is left-wing or right-wing on economic issues. Respond with 0 for left-wing or 1 for right-wing. Only respond with a one token integer. Do not respond with anything else.,TRUE,0.1,1
7,Widows and widowers find supporting children particularly difficult. Conservatives will give extra help to all widows and widowers with dependent children by removing tax on the Widowed Mother's Allowance and the new Widowed Parent's Allowance. THIS WILL PROVIDE A VALUABLE INCREASE OF UP TO £20 PER WEEK IN WIDOWED PARENTS'INCOME. It is right to boost the incomes of families with modest earnings. We will reform the Working Families Tax Credit so it is once more paid as a benefit direct to the caring parent.,"<think>
Alright, I need to determine whether the provided UK party manifesto text leans towards left-wing or right-wing economic policies, specifically on economic issues. Let me break down the key points.

First, the text mentions support for widows and widowers with dependent children by removing taxes on allowances, providing an income increase of up to £20 per week. This seems like a measure to support vulnerable families, which is typically associated with left-wing policies that aim to reduce inequality and provide social safety nets.

Next, it talks about reforming the Working Families Tax Credit so that it's paid directly to the caring parent. This suggests an effort to make financial support more directly accessible to families, possibly targeting working-class individuals who might otherwise struggle. Again, this aligns with left-wing economic principles focused on social welfare and redistribution of resources.

I should also consider the broader context of manifesto content. Left-wing parties usually emphasize social welfare, public services, and reducing economic disparities. The measures mentioned here are about providing direct financial assistance to families, which fits into that framework.

On the right side, policies often focus more on fiscal conservatism, lower taxes for businesses or higher income individuals, and minimizing state intervention in the market. However, this text doesn't mention tax cuts for corporations or reducing social welfare spending; instead, it's about increasing support for specific groups like widows and working families.

Therefore, based on the information provided, the manifesto appears to promote left-wing economic policies by supporting vulnerable families through enhanced benefits and social assistance.
</think>

0",0,The text provided is a UK party manifesto. Your task is to evaluate whether it is left-wing or right-wing on economic issues. Respond with 0 for left-wing or 1 for right-wing. Only respond with a one token integer. Do not respond with anything else.,TRUE,0.1,0
8,"We will introduce deposit refund schemes and back EU-wide standards for product design, energy efficiency and reuse. Help people to choose environmentally friendly products. WE WILL PRESS FOR COMPREHENSIVE AND UNDERSTANDABLE EU-WIDE ECOLOGICALLY FRIENDLY AND ENERGY EFFICIENT LABELLING SCHEMES. Promoting animal welfare. The way a society treats animals is a measure of its civilisation. We will: Promote animal welfare.","<think>
Okay, so I need to evaluate whether this UK party manifesto is left-wing or right-wing on economic issues. Let me start by reading through the text provided.

The manifesto mentions several environmental policies like deposit refund schemes, EU-wide standards for product design, energy efficiency, and reuse. They also talk about helping people choose environmentally friendly products and promoting comprehensive and understandable labeling schemes. Additionally, they focus on animal welfare as a measure of civilization.

Now, looking at these points, I notice that the party is pushing for environmental sustainability and regulatory measures to encourage eco-friendly practices across the EU. Deposit refund schemes are typically associated with progressive policies aimed at reducing waste and promoting recycling, which aligns with left-wing economic ideals that often prioritize sustainability and social welfare over unfettered capitalism.

Promoting animal welfare also ties into a compassionate and inclusive approach, which is more in line with left-wing values. Left-wing parties often advocate for policies that protect vulnerable groups and promote social equity.

On the other hand, right-wing economics typically emphasizes limited government intervention, free-market principles, and lower taxes. The manifesto doesn't mention anything about reducing the size of government or deregulating markets. Instead, it's focused on adding new regulations (like EU-wide standards) which suggests a preference for more government oversight, a stance often seen in left-wing policies.

I should also consider what each party's economic platform usually entails. Left-wing parties commonly emphasize social and environmental welfare, public services, and progressive taxation. The manifesto here doesn't touch on economic reforms like increasing taxes on the wealthy or nationalizing industries, but it does focus on sustainability and animal welfare, which are key areas for left-wing advocacy.

In contrast, right-wing economic policies would likely include deregulation, cuts to public services, and a focus on individual responsibility over collective action. The manifesto doesn't show any signs of pushing for such measures; instead, it's about creating schemes that encourage eco-friendly behavior through regulations, which is more in line with left-wing approaches.

So, putting this all together, the manifesto seems to lean towards left-wing economic policies by focusing on environmental sustainability and social welfare issues like animal rights. There's no indication of right-wing economic principles like privatization or reducing government intervention.
</think>

0",0,The text provided is a UK party manifesto. Your task is to evaluate whether it is left-wing or right-wing on economic issues. Respond with 0 for left-wing or 1 for right-wing. Only respond with a one token integer. Do not respond with anything else.,TRUE,0.1,0
9,"We will give them that chance. Our plans for the railways are designed to bring better services for all passengers as rapidly as possible. WE BELIEVE THAT FRANCHISING PROVIDES THE BEST WAY OF ACHIEVING THAT. Long term, as performance improves and services become more commercially attractive as a result of bringing in private sector disciplines, it will make sense to consider whether some services can be sold outright. In the next Parliament: By franchising, we will give the private sector the fullest opportunity to operate existing passenger railway services.","<think>
Alright, let's tackle this query step by step. The user has provided a text from a UK party manifesto and is asking me to evaluate whether it's left-wing or right-wing on economic issues. They want a response with just 0 for left-wing or 1 for right-wing, nothing else.

First, I need to understand what each side represents. Left-wing usually emphasizes public ownership, welfare, and state intervention, while right-wing tends towards privatization and free-market economics. So, looking at the text, it mentions railways being franchised and bringing in private sector disciplines. That sounds like a pro-private sector stance.

Franchising is mentioned as a way to achieve better railway services quickly. They also talk about performance improvements leading to commercial attractiveness, which suggests they believe private companies can run these services more efficiently. In the next Parliament, their plan is to franchise existing passenger services, giving the private sector a full opportunity.

Now, considering economic policies, this approach aligns with right-wing economics because it's promoting privatization and private sector involvement in public services. Left-wing would typically prefer more state control or public ownership rather than handing over operations to private companies for profit.

So, based on that analysis, the party's stance here is right-wing on economic issues. Therefore, I should respond with 1.
</think>

1",0,The text provided is a UK party manifesto. Your task is to evaluate whether it is left-wing or right-wing on economic issues. Respond with 0 for left-wing or 1 for right-wing. Only respond with a one token integer. Do not respond with anything else.,TRUE,0.1,1
