codingid,coderid,manifestoid,sentenceid,code,scale,party,year,source,sentence_text,sentence_context,uid
2547,Mik,Con 1992,1070016151,NA,None,Conservatives,1992,Experts,These benefits cannot be tossed away lightly.,"Our constitution is flexible, fair and tolerant. It has made this country one of the best places in which to live, work and bring up our children. THESE BENEFITS CANNOT BE TOSSED AWAY LIGHTLY. We will fight to preserve the Union, a promise which only the Conservatives can give at this election. SCOTLAND. Scotland has achieved an economic and cultural regeneration over the past 13 years.",UID13820
334314488,1.81e+07,LD 1997,50002981,NA,None,Liberal Democrats,1997,Crowd,We will press for comprehensive and understandable EU-wide ecologically friendly and energy efficient labelling schemes.,"We will introduce deposit refund schemes and back EU-wide standards for product design, energy efficiency and reuse. Help people to choose environmentally friendly products. WE WILL PRESS FOR COMPREHENSIVE AND UNDERSTANDABLE EU-WIDE ECOLOGICALLY FRIENDLY AND ENERGY EFFICIENT LABELLING SCHEMES. Promoting animal welfare. The way a society treats animals is a measure of its civilisation. We will: Promote animal welfare.",UID9873
370526882,2.05e+07,Con 2010,1160000911,NA,None,Conservatives,2010,Crowd,"As Conservatives, we trust people.","So, after thirteen years of Labour, we need radical political reform. We need to change the whole way this country is run. AS CONSERVATIVES, WE TRUST PEOPLE. We believe that if people are given more responsibility, they will behave more responsibly. We believe that if you decentralise power, you get better results and better value for money.",UID2560
45263,Pablo,LD 2005,1140003131,0,Economic,Liberal Democrats,2005,Experts,"We believe that in order to concentrate resources on currently under-funded areas such as pensions, policing and early years education, funding should be switched from lower priority areas.","Most people's tax will be cut by replacing Council Tax with a system based on ability to pay, saving the typical household around £450 per year. Tough choices in public spending. Liberal Democrats have different spending priorities from Labour. WE BELIEVE THAT IN ORDER TO CONCENTRATE RESOURCES ON CURRENTLY UNDER-FUNDED AREAS SUCH AS PENSIONS, POLICING AND EARLY YEARS EDUCATION, FUNDING SHOULD BE SWITCHED FROM LOWER PRIORITY AREAS. That means reducing unnecessary subsidies to industry, and cutting wasteful new initiatives like the ID card and the Child Trust Fund handouts for future 18 year- olds. This will allow us to spend more on the things that really matter, like better pensions, more police and smaller class sizes.",UID19229
334666221,1.52e+07,Lab 1997,60004991,NA,None,Labour,1997,Crowd,"Higher-quality services for patients. Hospitals will retain their autonomy over day-to-day administrative functions, but, as part of the NHS, they will be required to meet high-quality standards in the provision of care.","We will introduce three- to five-year agreements between the local primary care teams and hospitals. Hospitals will then be better able to plan work at full capacity and co-operate to enhance patient services. HIGHER-QUALITY SERVICES FOR PATIENTS. HOSPITALS WILL RETAIN THEIR AUTONOMY OVER DAY-TO-DAY ADMINISTRATIVE FUNCTIONS, BUT, AS PART OF THE NHS, THEY WILL BE REQUIRED TO MEET HIGH-QUALITY STANDARDS IN THE PROVISION OF CARE. Management will be held to account for performance levels. Boards will become more representative of the local communities they serve.",UID6505
28976,Pablo,LD 2010,1170002061,NA,None,Liberal Democrats,2010,Experts,"Launching an 'Eco Cash-Back' scheme, for one year only, which will give you £400 if you install double glazing, replace an old boiler, or install micro-generation.","It comprises:  Investing up to £400 million in refurbishing shipyards in the North of England and Scotland so that they can manufacture offshore wind turbines and other marine renewable energy equipment. As part of this scheme we will write off backdated business rates demands from before April 2008 for businesses in ports. LAUNCHING AN 'ECO CASH-BACK' SCHEME, FOR ONE YEAR ONLY, WHICH WILL GIVE YOU £400 IF YOU INSTALL DOUBLE GLAZING, REPLACE AN OLD BOILER, OR INSTALL MICRO-GENERATION. If you choose micro-generation, you will be able to sell the energy back to the National Grid at a profit, with a more attractive feed-in tariff than under current government plans. Setting aside extra money for schools who want to improve the energy efficiency of their buildings.",UID8824
NA,215,Lab 1987,30000771,-2,Economic,Labour,1987,SemiExperts,Much of it is the result of deliberate government policies.,"This could take as many as 160,000 people out of unemployment and into work. The Anti-Poverty Programme. The spread of poverty in the past eight years has stained the whole nation, and widened misery and disadvantage amongst old and young. MUCH OF IT IS THE RESULT OF DELIBERATE GOVERNMENT POLICIES. Millions of poor people endure it in despair. Millions who are not poor regard it as a disgrace.",UID8108
334314435,2.10e+07,LD 1997,50002791,NA,None,Liberal Democrats,1997,Crowd,Protecting Britain's heritage . Britain's natural environment and heritage are being gradually destroyed.,"We support on-site dry storage of nuclear waste, pending the long-term development of safe alternatives. Nuclear stations will not be replaced at the end of their design life. PROTECTING BRITAIN'S HERITAGE . BRITAIN'S NATURAL ENVIRONMENT AND HERITAGE ARE BEING GRADUALLY DESTROYED. We will: Clean up Britain's rivers and beaches and ensure that the costs of investment are spread fairly. We will require water companies to contribute to the cost of national environmental projects.",UID11351
14668,Iulia,Con 1987,10006741,1,Economic,Conservatives,1987,Experts,But retired people value their independence.,"Total spending on state pensions and benefits for elderly people has risen by 29 per cent after allowing for inflation. We will continue to maintain the value of the state retirement pension. BUT RETIRED PEOPLE VALUE THEIR INDEPENDENCE. They do not want to rely on the State alone for their income nor, increasingly, are they doing so. We share Beveridge's original goal of a good basic pension from the State, together with a second income from occupational and personal pensions and savings.",UID18577
65260,Alex,Con 1987,10003791,NA,None,Conservatives,1987,Experts,"We have encouraged growth in those crucial areas of new enterprise which provide the foundation for the jobs of the future - self-employment, small firms, the creation of new enterprise, the expanding service sector - particularly tourism and leisure - and new technology.","This Government has established the conditions in which business can prosper and create new jobs. This has not just been achieved through the revitalisation of traditional industries. WE HAVE ENCOURAGED GROWTH IN THOSE CRUCIAL AREAS OF NEW ENTERPRISE WHICH PROVIDE THE FOUNDATION FOR THE JOBS OF THE FUTURE - SELF-EMPLOYMENT, SMALL FIRMS, THE CREATION OF NEW ENTERPRISE, THE EXPANDING SERVICE SECTOR - PARTICULARLY TOURISM AND LEISURE - AND NEW TECHNOLOGY. Self-employment is the seedcorn of the new enterprises of tomorrow. Without sufficient people to start new businesses, the future of our whole economy is in jeopardy.",UID10291
