prompt,temperature,dataset,ka_mean
"The text provided is a party manifesto for a political party in the United Kingdom. Your task is to evaluate whether it is left-wing or right-wing on economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.1,manifestos,0.7744578125470455
"The text provided is a party manifesto for a political party in the United Kingdom. Your task is to evaluate whether it is left-wing or right-wing on economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.1,manifestos,0.7776748212416156
"You have to evaluate whether the text is left- or right-wing on economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.1,manifestos,0.7744578125470455
"You have to evaluate whether the text is left- or right-wing on economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.1,manifestos,0.7776748212416156
"You have to evaluate whether the text is left- or right-wing on the economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.1,manifestos,0.7744578125470455
"You have to evaluate whether the text is left- or right-wing on the economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.1,manifestos,0.7776748212416156
"You have to evaluate whether the text is left- or right-wing on certain economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.1,manifestos,0.7744578125470455
"You have to evaluate whether the text is left- or right-wing on certain economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.1,manifestos,0.7776748212416156
"The text for the political party in the United Kingdom is left- or right-wing. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.1,manifestos,0.7744578125470455
"The text for the political party in the United Kingdom is left- or right-wing. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.1,manifestos,0.7776748212416156
"The text for the political party in the United Kingdom is left- or right-wing on economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.1,manifestos,0.7744578125470455
"The text for the political party in the United Kingdom is left- or right-wing on economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.1,manifestos,0.7776748212416156
"The text for the political party in the United Kingdom is left or right-wing. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.1,manifestos,0.7744578125470455
"The text for the political party in the United Kingdom is left or right-wing. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.1,manifestos,0.7776748212416156
"You have to evaluate whether the text is left- or right-wing on the issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.1,manifestos,0.7744578125470455
"You have to evaluate whether the text is left- or right-wing on the issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.1,manifestos,0.7776748212416156
"You have to evaluate whether the text is left- or right-wing on economics. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.1,manifestos,0.7744578125470455
"You have to evaluate whether the text is left- or right-wing on economics. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.1,manifestos,0.7776748212416156
"You have to evaluate whether the text is left- or right-wing on economic issues in the party manifesto. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.1,manifestos,0.7744578125470455
"You have to evaluate whether the text is left- or right-wing on economic issues in the party manifesto. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.1,manifestos,0.7776748212416156
"You have to evaluate whether the text is left- or right-wing on economic matters. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.1,manifestos,0.7744578125470455
"You have to evaluate whether the text is left- or right-wing on economic matters. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.1,manifestos,0.7776748212416156
"The text provided is a party manifesto for a political party in the United Kingdom. Your task is to evaluate whether it is left-wing or right-wing on economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.3,manifestos,0.7843888007622702
"The text provided is a party manifesto for a political party in the United Kingdom. Your task is to evaluate whether it is left-wing or right-wing on economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.3,manifestos,0.7883758520828691
"You need to evaluate whether the text is left-wing or right-wing on economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.3,manifestos,0.7843888007622702
"You need to evaluate whether the text is left-wing or right-wing on economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.3,manifestos,0.7883758520828691
"You need to evaluate whether the text is left- or right-wing on economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.3,manifestos,0.7843888007622702
"You need to evaluate whether the text is left- or right-wing on economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.3,manifestos,0.7883758520828691
"You need to evaluate whether the text is left- or right-wing on the economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.3,manifestos,0.7843888007622702
"You need to evaluate whether the text is left- or right-wing on the economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.3,manifestos,0.7883758520828691
"You need to evaluate whether the text is left-wing or right-wing on economic issues in the party manifesto. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.3,manifestos,0.7843888007622702
"You need to evaluate whether the text is left-wing or right-wing on economic issues in the party manifesto. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.3,manifestos,0.7883758520828691
"You need to evaluate whether the text is left- or right-wing, on economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.3,manifestos,0.7843888007622702
"You need to evaluate whether the text is left- or right-wing, on economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.3,manifestos,0.7883758520828691
"You need to evaluate whether the text is left- or right-wing on economic issues in the party manifesto. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.3,manifestos,0.7843888007622702
"You need to evaluate whether the text is left- or right-wing on economic issues in the party manifesto. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.3,manifestos,0.7883758520828691
"You need to evaluate whether the text is left-wing or right-wing on economic issues Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.3,manifestos,0.7843888007622702
"You need to evaluate whether the text is left-wing or right-wing on economic issues Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.3,manifestos,0.7883758520828691
"You need to evaluate whether the text is left-wing or right-wing about economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.3,manifestos,0.7843888007622702
"You need to evaluate whether the text is left-wing or right-wing about economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.3,manifestos,0.7883758520828691
"You need to evaluate whether the text is left-wing or right-wing on economic issues, based on the text provided. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.3,manifestos,0.7843888007622702
"You need to evaluate whether the text is left-wing or right-wing on economic issues, based on the text provided. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.3,manifestos,0.7883758520828691
"You need to evaluate whether the text is left-wing or right-wing on economic issues in the party's manifesto. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.3,manifestos,0.7843888007622702
"You need to evaluate whether the text is left-wing or right-wing on economic issues in the party's manifesto. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.3,manifestos,0.7883758520828691
"The text provided is a party manifesto for a political party in the United Kingdom. Your task is to evaluate whether it is left-wing or right-wing on economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.5,manifestos,0.77907476635514
"The text provided is a party manifesto for a political party in the United Kingdom. Your task is to evaluate whether it is left-wing or right-wing on economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.5,manifestos,0.785053630372911
"You are asked to evaluate whether the document is left-wing or right-wing on economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.5,manifestos,0.77907476635514
"You are asked to evaluate whether the document is left-wing or right-wing on economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.5,manifestos,0.785053630372911
"You have to figure out if it is left-wing or right-wing on economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.5,manifestos,0.77907476635514
"You have to figure out if it is left-wing or right-wing on economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.5,manifestos,0.785053630372911
"You have to evaluate whether it is left- or right-wing on economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.5,manifestos,0.77907476635514
"You have to evaluate whether it is left- or right-wing on economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.5,manifestos,0.785053630372911
"You are asked to evaluate whether the document is left-wing or right-wing on certain economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.5,manifestos,0.77907476635514
"You are asked to evaluate whether the document is left-wing or right-wing on certain economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.5,manifestos,0.785053630372911
"You have to evaluate whether it is left- or right-wing on economic issues in the text. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.5,manifestos,0.77907476635514
"You have to evaluate whether it is left- or right-wing on economic issues in the text. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.5,manifestos,0.785053630372911
"You are asked to evaluate whether the document is left-wing or right-wing. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.5,manifestos,0.77907476635514
"You are asked to evaluate whether the document is left-wing or right-wing. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.5,manifestos,0.785053630372911
"You have to figure out if it is left-wing or right-wing on economic issues based on the text. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.5,manifestos,0.77907476635514
"You have to figure out if it is left-wing or right-wing on economic issues based on the text. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.5,manifestos,0.785053630372911
"You have to figure out if it is left-wing or right-wing on economic issues in the text. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.5,manifestos,0.77907476635514
"You have to figure out if it is left-wing or right-wing on economic issues in the text. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.5,manifestos,0.785053630372911
"You have to figure out if it is left-wing or right-wing on economic issues based on the text provided. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.5,manifestos,0.77907476635514
"You have to figure out if it is left-wing or right-wing on economic issues based on the text provided. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.5,manifestos,0.785053630372911
"You are asked to evaluate whether the document is left-wing or right-wing on economic issues Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.5,manifestos,0.77907476635514
"You are asked to evaluate whether the document is left-wing or right-wing on economic issues Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.5,manifestos,0.785053630372911
"The text provided is a party manifesto for a political party in the United Kingdom. Your task is to evaluate whether it is left-wing or right-wing on economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.7,manifestos,0.7909210132756599
"The text provided is a party manifesto for a political party in the United Kingdom. Your task is to evaluate whether it is left-wing or right-wing on economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.7,manifestos,0.7864294927027252
"You are tasked with determining if the text is left- or right-wing on economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.7,manifestos,0.7909210132756599
"You are tasked with determining if the text is left- or right-wing on economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.7,manifestos,0.7864294927027252
"You are tasked with determining whether the text is left-wing or right-wing on the economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.7,manifestos,0.7909210132756599
"You are tasked with determining whether the text is left-wing or right-wing on the economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.7,manifestos,0.7864294927027252
"You are tasked with determining whether the text is left-wing or right-wing on certain economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.7,manifestos,0.7909210132756599
"You are tasked with determining whether the text is left-wing or right-wing on certain economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.7,manifestos,0.7864294927027252
"You are tasked with determining if the text is left-wing or right-wing on economics. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.7,manifestos,0.7909210132756599
"You are tasked with determining if the text is left-wing or right-wing on economics. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.7,manifestos,0.7864294927027252
"You are tasked with assessing whether the document is left- or right-wing on certain economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.7,manifestos,0.7909210132756599
"You are tasked with assessing whether the document is left- or right-wing on certain economic issues. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.7,manifestos,0.7864294927027252
"You are tasked with determining whether the text is left-wing or right-wing on economics. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.7,manifestos,0.7909210132756599
"You are tasked with determining whether the text is left-wing or right-wing on economics. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.7,manifestos,0.7864294927027252
"You are tasked with determining whether the text is left-wing or right-wing on the economic issues in it. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.7,manifestos,0.7909210132756599
"You are tasked with determining whether the text is left-wing or right-wing on the economic issues in it. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.7,manifestos,0.7864294927027252
"You are tasked with determining whether the text is left-wing or right-wing on the economic issues in the document. Respond with 0 for left-wing, or 1 for right-wing. Respond nothing else.",2.7,manifestos,0.7909210132756599
