V201549x,V202022,V201200,V201231x,V201452,V201507x,V201600,V202406,V201007d,profile
"Racially, I am black.",I like to discuss politics with my family and friends.,"Ideologically, I am slightly conservative.","Politically, I am a strong Democrat.",I do not attend church.,I am 33 years old.,I am a man.,I am somewhat interested in politics.,,"Racially, I am black. I like to discuss politics with my family and friends. Ideologically, I am slightly conservative. Politically, I am a strong Democrat. I do not attend church. I am 33 years old. I am a man. I am somewhat interested in politics."
"Racially, I am black.",,"Ideologically, I am moderate.","Politically, I am an independent who leans Democratic.",I attend church.,I am 53 years old.,I am a woman.,,,"Racially, I am black. Ideologically, I am moderate. Politically, I am an independent who leans Democratic. I attend church. I am 53 years old. I am a woman."
"Racially, I am white.",I like to discuss politics with my family and friends.,"Ideologically, I am extremely conservative.","Politically, I am a weak Republican.",I attend church.,I am 36 years old.,I am a woman.,I am not very interested in politics.,,"Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am extremely conservative. Politically, I am a weak Republican. I attend church. I am 36 years old. I am a woman. I am not very interested in politics."
"Racially, I am white.",I like to discuss politics with my family and friends.,"Ideologically, I am slightly conservative.","Politically, I am a strong Republican.",I attend church.,I am 80 years old.,I am a woman.,I am somewhat interested in politics.,,"Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am slightly conservative. Politically, I am a strong Republican. I attend church. I am 80 years old. I am a woman. I am somewhat interested in politics."
"Racially, I am white.",I like to discuss politics with my family and friends.,"Ideologically, I am extremely liberal.","Politically, I am an independent who leans Democratic.",I do not attend church.,I am 21 years old.,I am a woman.,I am somewhat interested in politics.,,"Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am extremely liberal. Politically, I am an independent who leans Democratic. I do not attend church. I am 21 years old. I am a woman. I am somewhat interested in politics."
"Racially, I am white.",I like to discuss politics with my family and friends.,"Ideologically, I am slightly liberal.","Politically, I am an independent who leans Democratic.",I do not attend church.,I am 29 years old.,I am a man.,I am not very interested in politics.,,"Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am slightly liberal. Politically, I am an independent who leans Democratic. I do not attend church. I am 29 years old. I am a man. I am not very interested in politics."
"Racially, I am white.",I like to discuss politics with my family and friends.,"Ideologically, I am moderate.","Politically, I am a weak Republican.",I do not attend church.,I am 80 years old.,I am a woman.,I am somewhat interested in politics.,,"Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am moderate. Politically, I am a weak Republican. I do not attend church. I am 80 years old. I am a woman. I am somewhat interested in politics."
"Racially, I am native American.",I like to discuss politics with my family and friends.,"Ideologically, I am liberal.","Politically, I am an independent who leans Democratic.",I do not attend church.,I am 26 years old.,I am a man.,I am somewhat interested in politics.,,"Racially, I am native American. I like to discuss politics with my family and friends. Ideologically, I am liberal. Politically, I am an independent who leans Democratic. I do not attend church. I am 26 years old. I am a man. I am somewhat interested in politics."
"Racially, I am black.",I like to discuss politics with my family and friends.,,"Politically, I am an independent.",I do not attend church.,I am 25 years old.,I am a man.,I am somewhat interested in politics.,,"Racially, I am black. I like to discuss politics with my family and friends. Politically, I am an independent. I do not attend church. I am 25 years old. I am a man. I am somewhat interested in politics."
"Racially, I am white.",I like to discuss politics with my family and friends.,"Ideologically, I am moderate.","Politically, I am an independent.",I do not attend church.,I am 52 years old.,I am a man.,I am not at all interested in politics.,,"Racially, I am white. I like to discuss politics with my family and friends. Ideologically, I am moderate. Politically, I am an independent. I do not attend church. I am 52 years old. I am a man. I am not at all interested in politics."
