"","id","body","code","txtlength"
"1",48268,"The rate at which Americans bought new single family homes dropped 14 percent in September from the month before x the Government reported today . Resurging mortgage rates and a sharp jump in home prices apparently deterred potential buyers . A survey by the Departments of Commerce and Housing and Urban Development estimated new home sales for the month at a seasonally adjusted rate of 554 ,000 a year . That is 14 percent lower than a revised August annual rate of 643 ,000 and 23 percent lower than the September 1979 level of 716 ,000 units . The annual rates are estimated by taking actual sales for a month x multiplying them by 12 and then adjusting for normal seasonal sales patterns . The survey also reported that the median sales price of a new single family home jumped in September to $68 ,800 x from $63 ,000 in August . The median sales price had decline to x13 .84 percent x from 13 .23 percent the month before and 11 .34 percent the year before . Actual new home sales in September totaled an estimated 46 ,000 units x down from 60 ,000 in August . Through the first nine months of 1980 x an estimated 416 ,000 houses were sold . That was 28 percent below the comparable 1979 figure x when sales totaled 579 ,000 . The rate at which new homes were sold has plunged during the last year in response to soaring interest rates . Home sales reached the bottom at an annual rate of 345 ,000 in April as mortgage rates peaked at 18 percent . Sales picked up after that x as mortgage rates came down x but now the reverse is occurring . The drop in home sales in September was sharpest in the Middle West and the South x the survey showed . Sales in the Middle West decline to xan annual rate of 65 ,000 x from 112 ,000 in August . Sales in the South fell to 249 ,000 in September x from 295 ,000 in August . Copyright 1980 The New York Times Company ","Negative",1864
"2",48355,"Automobile importers and representatives of Japanese car manufacturers contended today that the United States auto industry was in trouble because of the unfavorable fuel situation and a national economic downturn x not because of competition from imports . Sales of larger x fuel inefficient vehicles are down sharply x while smaller American cars have held their own in the domestic market x top officials of Toyota x Nissan and the American International Automobile Dealers Association asserted in testimony before the International Trade Commission here . This Federal tribunal x which adjudicates trade cases x was in the third day of hearings on petitions by the Ford Motor Company and the United Automobile Workers union that allege that serious economic injury was caused by imports from Japan and that quotas that would cut back Japanese shipments by more than 50 percent should be imposed . Biggest Case for Panel In this x by far the biggest trade case ever to come before the trade panel x the five commissioners will have to sift through masses of conflicting statistics x documents x legal briefs and oral testimony before voting on their findings the week of Nov 10 . Should the panel agree with Ford and the UAW . x it would recommend a relief package to President Carter x who would probably then begin negotiating quotas with the Japanese Government . If the commission decides that imports are not cause of injury x the case for protection would be seriously undermined x although Congress x which has expressed concern over the plight of auto workers and the deteriorating financial health of the auto companies x could still ask the President to negotiate a quota agreement with the Japanese . In the first half of 1980 x the importers said today x foreign car sales in the United States increased by 13 ,000 units over the first half of 1979 x or (little) not 1 percent . ''General Motors sells that many cars in a day ,'' said Robert M . McElwaine x president of the International Dealers Association x who noted that during this same period GM's sales of small cars increased by 250 ,000 units . ''While the industry has pointed the finger at imports x GM has quietly and efficiently gobbled up the small car market ,'' Mr McElwaine said . Ford and the UAW . had argued in the two prior days of testimony that x since imports had increased while total car and truck sales were falling x imports had to be pinpointed as the cause of injury . Comparative Figures Presented According to figures presented by Ford's chairman x Philip Caldwell x total car and truck sales of 12 .8 million units in 1978 will drop to 8dot2 million in 1980 x while imports from Japan will have increased by one million units over the same period . Representatives of Toyota and Nissan argued x however x that the problems of the domestic industry were merely temporary x and with the introduction of small x fuel efficient cars x the domestic industry could look forward to a healthy upturn as the economy improved x (without) not aid of any protection . Said Norman D . Lean x senior xvice president of Toyota: ''GM already has the two hottest selling lines in the small car market x the Chevette and the 'X' bodies . Chrysler and Ford with great advertising buildups are now in the process of introducing the 'K' cars and the Escort/Lynx . I am sure that these cars will sell in record numbers .'' Alan W . Wolff x a former United States deputy trade representative and now a lawyer representing Nissan x which makes Datsun cars x added that x were it not for the Japanese competition x the American move into small cars might have been delayed with unfortunate consequences for fuel conservation and the economy as a whole . ''This is not praise the Japanese manufacturer for unmatchable foresight ,'' he said . ''Nor does it indicate that blame should be placed on the Japanese manufacturers for having sold in the United States products American consumers chose to buy .'' Copyright 1980 The New York Times Company ","Negative",4020
"3",48394,"Attracted by American worker productivity and by a desire to locate amid its growing number of United States customers x Rolls Royce Ltd . x the British aircraft engine manufacturer x is about to open its first class A parts manufacturing plant outside Britain here . The plant x which is expected to be in full operation next summer x will produce high pressure turbine disks for the company's advanced engine x the RB 211 . Class A parts are those engine components considered crucial for airworthiness . A defect in the part would cause engine fail to xmake important Rolls Royce parts on foreign soil ,'' said Frank Hills x the American plant's general manager . ''It has to be done in baby steps gradually over a long period of study . It is economically risky because it is so expensive .'' The company x which (no) (no longer) not operating links to the company that produces the Rolls Royce automobile x is spending almost $30 million to set up shop here . Of the total x $22 million will be spent on elaborate computerized machinery and $6 million for on site preparation . Importing British Managers The company plans to import 18 to 20 specialists from Britain to train 100 locally hired employees x as xwell as 10 to 12 experts who will supervise work here on a long term basis . ''We are going to do this the American way ,'' Mr Hill said . ''The environment in England is not conducive to change ,'' he said . The RB 211 engine x which Rolls Royce contends is the most advanced in production x is used on the Lockheed Tristar x the Boeing 747 and Boeing's newest 757 x which is due off the assembly line in January 1983 . So far only the RB 211 has been selected for use on the 757 x even though Boeing to date has generally favored Pratt and Whitney engines . An important factor in the company's decision to set up shop in the United States is its growing xshare for opening a plant in the United States x according to Mr Hill x is that productivity is higher here . He said x ''There is a tendency in the European markets to featherbed .'' Cost Efficiencies in Miami Because the Miami plant will be highly specialized x manufacturing only turbine disks x and technologically advanced x it is expected to be 25 percent more cost efficient than its British mother plant x despite the costs of flying the disks between Britain and Miami . The doughnut shaped turbine disks to be produced here are made from a combination of stainless steel x titanium and a nickel alloy . It is the most difficult material to machine that man has ever made x Mr Hill said . To produce the disks x computer driven ''broaching machines ,'' which cost about $2 .36 million each x will cut small slots in the outer rim of the disk to allow small blades to be fed into each slot . The error tolerance is (no) not five ten thousandths of an inch . Once the Miami plant has finished with the disks x they will be shipped back to Britain x ready for installation on the complete engine . The high precision disk machining function chosen for Miami was selected with a view toward expanding the plant into a complete engine production facility x according to company officials . ''We decided to go for a high quality level in order to establish ourselves with a high quality product ,'' according to Alex McWilliams x who was brought out of retirement to help set up the operation . By next August the plant will be producing 10 sets of disks every four weeks . Copyright 1980 The New York Times Company ","Positive",3492
"4",48415,"International Restoration of political stability in Turkey was pledged by the military leaders who toppled the civilian Government in an apparently bloodless coup . They also said they would wipe out growing extremist violence and eventually give way to civilian rule . The officers pledged to continue Turkey's essentially pro Western foreign policy and especially its commitments as a member of the North Atlantic Treaty Organization . (Page 1 x Column 6 .) Ayatollah Khomeini softened his stand on the hostage issue . He set four conditions for their possible release that omitted a previous demand for an American apology for past act xlike the ones started last month by workers on the Baltic Coast . (3:4 6 .) Energy Three American cars met the 30 miles per gallon standard for the first time since the Government began testing cars for fuel economy x the Environmental Protection Agency said . They are the Chevrolet Chevette x the Ford Escort and the Lincoln Mercury Lynx . The most mileage any American car had achieved was 26 miles per gallon . But the Volkswagen Rabbit remains far ahead x with 42 miles a gallon . (1:1 .) National The recession apparently ended in July x a Government economist said and predicted that the economy would show growth in the third quarter . The assessment was made by Courtenay M . Slater x the chief economist of the Commerce Department x was surprising because other economists have been saying that they expected a third quarter decline to xsmooth the way for a hotel project in Philadelphia . However x the agent seemed to have trouble getting George X . Schwartz x president of the Council since 1972 x to acknowledge that the money was supposed to be a payoff . Several times x Federal agents hiding in an adjoining room telephoned new instructions to push the meeting in another direction . (8:1 2 .) Senator Strom Thurmond denied in Federal District Court in Washington that he was involved in what his fellow South Carolina lawmaker x Representative John J . Jenrette Jr . x contended was to have been a $125 ,000 bribe for legislation introduced by Senator Thurmond x a Republican . (8:1 4 .) An unusually severe red tide has struck Maine's coast x sharply curtailing the state's $1 million a week shellfish industry . Scientists say that the tide x an outgrowth of marine xorganized by a Federal judge in Manhattan to turn over its master address registers and lists of vacant buildings to New York City and the state x which had sought the data in their efforts to assure a maximum count of city and state residents . The order was stayed until Tuesday to give the Government time to appeal . (23:1 5 .) New Jersey restricted water use in 88 North Jersey communities served by the Hackensack and Commonwealth Water Companies x which x because of the lack xin xtheir reservoirs . (23:6 .) A bootleg cigarette operation in the New York City area allegedly run by a former New York City police sergeant x his wife and brother and two other men was broken up x Federal agents say x with their arrest here . The former sergeant x Anthony J . Vivelo of Staten Island x and the others x including one still being sought x were indicted in Norfolk x Va . (25:2 5 .) Business Digest x Page 27 Copyright 1980 The New York Times Company ","Negative",3281
"5",48435,"Heineken's x for years the best selling imported beer in the United States x is now facing a determined challenge from other x (less) not costly imports as consumers grow increasingly frugal . The green bottled beverage from the Netherlands x with the familiar windmill label x has encountered particularly strong competition from Canadian and Mexican imported brands . ''Picture yourself looking at imported beers in a store ,'' said Manuel Fernandez x president of Moctezuma Imports Inc . x the largest importer of Mexico's Dos Equis beer . ''Where three years ago a store might have stocked 15 brands of imported beers x today it will stock 55 . With so many new beers in the marketplace x Heineken is suffering .'' Leo Van Munching Jr . x president of Van Munching and Company x Heineken's American distributor x acknowledged that sales from wholesalers to retailers x which for the past six years had grown at an annual rate of 30 percent x dropped to 5 percent from October 1979 through last July . Recession x Inventories Cited But he said that Heineken's x which handles 95 to 98 percent of all beer exported from the Netherlands x was still firmly anchored in the American market and attributed the decline to xthe effects of the recession on the beer industry and to an inventory adjustment x not inroads from the competition . ''We reduced our shipments earlier this year to eat up extra inventories ,'' Mr Van Munching said . ''The inventory problem occurred because when we announced the biggest increase in our history of 70 cents per case at the end of 1979 x we gave our distributors a chance to buy at the old prices . We are not delighted with our performance x but it is not unrealistic x given the economy and the necessary period of adjustment to our price increases .'' Mr Van Munching contended that some imports were showing rising sales because of ''extensive trade discounts .'' According to a trade newsletter x Impact x 4dot4 million barrels of beer were imported last year x 2dot5 percent of the 171 .8 million barrels produced for the United States market . 40percent of Import Market Heineken x which has a xshare of the import market estimated at 40 percent x was introduced into the United States in 1933 and is now marketed in every state . The company sold 1dot8 million barrels in 1979 . According to Beer Marketer's Insights x an industry publication x Heineken shipments dropped about 19 percent in the first six months this year . In June x beer shipments from the Netherlands fell to 103 ,000 barrels x from 224 ,000 the year before x a drop of 54 percent . By contrast x beer imports from Canada increased by 22 percent in the same period . ''Some of the higher priced imports seem to be in a period where growth may be stymied ,'' Jerry Steinman x editor of Beer Marketer's Insights x said . ''An inventory adjustment could account for part of Heineken's problem x but some consumers may also be trading down . Canadian and Mexican beers are cheaper .'' Non European imports generally cost $1 (less) not per six pack than the European beers . Marvin Shanken x editor and publisher of Impact x said: ''Heineken is facing much keener competition now x but anyone who does not believe that Heineken is the strongest brand franchise in America is kidding himself . In five years x however x this may not .'' Labatt's Sales Up Ron Fowler x president of Labatt's Importers x which markets Labatt's beer and ale in 12 states and which ranks as the No . 3 imported beer x behind Heineken and Molson x said that the company's shipments in the quarter ended last July had increased more than 30 percent and that retail sales were up more than 34 percent . Labatt's and Molson are both made in Canada . ''We are very happy ,'' Mr Fowler said . ''We are benefiting from the thrust away from European imports and seeing a substantial volume and profit swing .'' Labatt's has an estimated 8 percent of the American market and expects to send about 300 ,000 barrels of beer into the United States by the end of its current fiscal year . Charles Roura x manager of Houston Street Beer Distributors Inc . in lower Manhattan x agreed that consumers have been expressing an increasing preference for Canadian beers . ''Last year x for example x we didn't bother to sell Moosehead x but we do now ,'' Mr Roura said x referring to a Canadian brand whose visibility on the American market is small but growing . The Mexican brands have also increased their market xshare . According to Mr Fernandez of Moctezuma Imports x Dos Equis x which sells in 48 states x is running 20 percent ahead of last year in retail sales . As he sees it x his brand's success mainly reflects consumer willingness to try different beers x as xwell as aggressive promotion x rather than a cheaper price . Dos Equis x the leading imported beer from Mexico with a 5 percent xshare for the year to date . In 1979 x the segment grew by 28 percent . ''Every one that has left Heineken has not come to Molson x Labatt's or Dos Equis ,'' he said . ''If we at Molson's had picked up Heineken's lose the xmarket x according to Impact x Molson's is Heineken's biggest competitor x with a volume of more than one million barrels last year . Although Van Munching and Company maintains that the timing is coincidental x for the first time in seven years the company will advertise Heineken's on television . Copyright 1980 The New York Times Company ","Negative",5436
"6",48443,"WASHINGTON FOR the average New Jersey worker on a manufacturing payroll x it has been like lose the xaverage work for those workers was 40 .9 hours x compared with 41 .6 hours in May 1979 . New Jersey's average of $292 .84 a week was the second highest in the Northeast x it was exceeded only by Connecticut's $293 .85 x and the state was 17th among the 50 states . May figures for New York State are not available x but the bureau reported that New York's April average for manufacturing workers was $275 .18 x xwell below both New Jersey and Connecticut . Even as workers on the job in New Jersey suffered a lose the xeighth highest in the nation x topped by Michigan x with 14 percent . Indiana x with 10 .5 percent x and five other states with rates from 8dot4 to 9dot4 percent . Generally x Far Western and Middle Western states ran far ahead of the Northeast in average weekly earnings . Within New Jersey x the pay for manufacturing work was best in the New Brunswick Perth Amboy Sayreville area x and lowest x among urban centers x in the vicinity of Atlantic City . The bureau's preliminary report on unemployment for May showed that the Jersey City area was the hardest hit x with 12 .2 percent of the labor force out of work . That compared with 10 .7 percent in May 1979 . Jobless rates in May for other New Jersey urban areas were: Atlantic City x 10 .2 percent . Long Branch Asbury Park x 8dot5 percent . Newark x 8dot3 percent . New Brunswick Perth Amboy Sayreville x 7dot3 percent . Paterson Clifton Passaic x 9dot6 percent . Trenton x 6dot7 percent x and Vineland Millville Bridgeton x 11 .5 percent . states (page 21) Copyright 1980 The New York Times Company ","Negative",1678
"7",48536,"People around the country who have been hiding from urban misery in the suburban hills better take a second look xlike Cleveland's and Washington's x started with a liquidity problem . New York x in 1975 x was the first major city to find that it couldn't pay its bills and workers and also redeem its notes . During this phase x Mayor Beame cut about 20 percent of the work force . Every one year note was paid in full x with the help of xshort term Government loans and an ingenious scheme establishing the Municipal Assistance Corporation . Once this was accomplished x in 1978 x many New Yorkers thought the crisis was over . The city then learned x as other cities are learning now x that a good payment record on past debts didn't reopen the bond market . The city had to xbalance budget . Mayor Koch was able to hold the line on expenses . Inflation (without) not recession pushed up tax receipts . Federal loan guarantees made capital improvements possible . Now surely the crisis was over . But then inflation spurted upward and now the recession has brought on the third phase . Municipal unions demanded and won wage increases to match inflation . Recession intensified the demand for services despite uncertain revenues . New York's Financial Control Board predicts that 1982's deficit of more than $1 billion will double by fiscal 1984 . Other cities may have (less) not sophisticated monitoring x but they are moving into a similar future . They have much to do on their own . New York x already dirty x inadequately policed and shabbily maintained x will nonetheless have to cut its work force again . It will have to increase taxes . It will have to try to stretch the repayment of its debts . Similar news comes from Washington x Cleveland and other strike threatened cities . To accomplish all those economies will be hard x and even then will not suffice . Despite the building boom in Manhattan x New York (no) (no longer) not produces enough wealth to pay for the burdens of national poverty x social disorder and world xfair xshare have sought escape from the poorhouse shadow in suburban retreats or Sun Belt cities can not longer escape their xshare of the bill . Copyright 1980 The New York Times Company ","Negative",2230
"8",48561,"The nation's industrial production tumbled by 2dot4 percent in June x continuing for a fifth month a decline to xJune GNP . decline to xofficially release its GNP . figures on Friday . But Mr Schultze told a meeting of Washington economists that the recession ''will turn around'' soon and lead into a ''slow recovery next year .'' He said that the nature of ''this fairly steep recession'' was changing x with the deep automobile and housing slumps ''bottoming out .'' Tax Cut Warnings Repeated Mr Schultze repeated Administration warnings that enactment of a tax cut before November's election was ill advised . The goal is not ''put billions of dollars into people's pockets ,'' he said x but to craft the kind of tax cut that will help spur productivity and fight inflation over a five year period . Two major causes of the recession x Mr Schultze added x ''now are in the process of correcting themselves .'' He said that the easing of inflation was moderating the erosion of people's purchasing power and the drop in interest rates was easing both the cost and availability of credit . Government and private economists attributed the industrial production decline to xconcerted efforts by business to slash inventories in the face of slumping consumer demand . It also signals continued increases in job layoffs x they said . Unemployment x now at 7dot7 percent x is expected to range between 8dot5 percent and 9 percent before peaking x economists predict . Car Assemblies Up 7 Percent The Federal Reserve said that only the slumping auto industry showed signs of progress in June x with car assemblies rising about 7 percent x to an annual rate of 5dot9 million vehicles x still far below last year's June level of 9dot1 million . ''This is evidence that the bust in the auto sector has reached bottom x and sales and production are beginning what will probably be a slow recovery ,'' said William Cox x the Commerce Department's deputy chief economist . Beyond this x however x ''there were continued sharp reductions in most other consumer durable goods industries ,'' the Federal Reserve said . The Federal Reserve's industrial production index in June stood at 141 .2 percent of the 1967 average . That is 7dot7 percent below its peak in March 1979 and the lowest level since February 1978 x when it stood at 140 .3 percent . Production of goods for the home x such as furniture and appliances x decline to xbuy big ticket items during a recession x economists say . Other Declines Listed The Federal Reserve also reported June output decline to xthe recession ,'' he added . ''They don't want inventories to get excessive .'' Inventories x after rising for months x slipped slightly in May x the Government reported earlier . 'Few More Months to Run' Mr Cox said this inventory adjustment ''has a few more months to run x and in the process is likely to involve further decline to xdecline to x8dot9 percent peak unemployment before the year's end . ''We expect to see another quarter of 1 percent to 1dot5 percent monthly drops in output and then a gradual leveling off in the fourth quarter ,'' said Mr Cross . ''The recession will not bottom out for production until the end of the year . Businesses will continue to cut back until they are sure consumer demand is picking up .'' Copyright 1980 The New York Times Company ","Negative",3339
"9",48607,"Senator Ernest F . Hollings x chairman of the Senate Budget Committee x predicted last night that rising unemployment and a tax cut would throw the Federal budget for the fiscal year 1981 seriously out of xbalance budget measure x a package of $16 .2 billion in supplemental appropriations for the fiscal year 1980 . The fiscal year ends Sept 30 . Mr Hollings x Democrat of South Carolina x a leading advocate of a xbalance budget x thus became one of the first members of Congress in a powerful budget making role to publicly acknowledge that the $613 billion budget for 1981 was likely to come undone . Effect of Tax Cut Taking note of the recent momentum for a tax cut x Mr Hollings said such a cut would alone mean a deficit of $20 to $30 billion . The Senator also noted that the 1981 budget was based on the assumption that the unemployment rate would go (no) not higher than 7dot5 percent . But the rate x now 7dot8 percent x could reach 8dot5 or 9 percent by election day x the Senator said . Every percentage point increase in the unemployment rate would add $20 billion to Federal expenditures to care for the unemployed x and require additional funds for programs such as food stamps . Rising unemployment also would result in decreased revenues . In its session last night x the Senate approved the 1980 supplemental appropriations after reducing some proposed new expenditures so that the budget would stay within the ceiling of $572 .6 billion previously set by Congess x with a deficit of $47 billion . Military Spending Involved The Senators cut $142 million in revenue sharing x $150 million in military expenditures x $40 million for Amtrak x and $30 million for the Corps of Engineers x all relatively small cuts compared with current outlays for these areas . The Senate and House will go to conference tomorrow to iron out differences in the supplemental appropriations bills . The House had approved a $16 .1 billion bill . A major difference was that it left out $900 million for foreign aid and aid to international financial institutions that had been approved by the Senate . The House Senate conference x composed of senior Appropriations Committee members x is expected to demonstrate anew the benefits that Congressional seniority can bestow on states and Congressional districts that keep re electing their senators and representatives . The eruptions of the Mount St Helens volcano and the influx of Cuban and Haitian refugees x were addressed in the supplemental bills . In both cases x the Senate proved far more generous than the House x due in large measure to the seniority of senators from the affected areas . Aid to Volcano Victims The Senate appropriated $952 million for the volcano victims in Washington x while the House appropriated $784 million . The state of Washington is represented by Senator Warren G . Magnuson x a Democrat x who is chairman of the Appropriations Committee and is completing his 36th year in the Senate . The Senate appropriated $484 million for communities affected by the refugee influx x compared with $200 million provided by the House . Most of those refugees have settled in Florida x which is represented by Senator Lawton Chiles x the third ranking Democrat on the Budget Committee and a member of the Appropriations Committee . On the other hand x the House was more generous in making appropriations for the controversial Tennessee Tombigbee waterway in Alabama and Mississippi . The House appropriated $225 million and the Senate $58 million . A major proponent of the waterway was Representative Jamie L . Whitten x Democrat of Mississippi x who is chairman of the House Appropriations Committee . Both houses provided $1dot5 billion in trade adjustment assistance to American workers who lose the xblack lung disability fund . Copyright 1980 The New York Times Company ","Negative",3850
"10",48667,"Ida Garcia has been sitting in the ''hot seat'' as a claims taker at the unemployment compensation office here for five years x and she has learned the rhythms and cycles of joblessness here in the Milwaukee area . The college kitchen and dormitory workers have been lining up this week x right on schedule x and next week x she knows x the school bus drivers and teachers' aides will appear . But why are the roofers and the foundrymen and the construction workers coming in xtoo she wonders x to apply for unemployment benefits now x in early summer x when they should be busiest . ''Usually the construction workers come in in the xfall x as soon as the weather gets bad ,'' she said x ''but they are here now . The industrial layoffs are just massive x xlike it was completely shut down . I have (never) not seen it so bad .'' Unemployment is bad across the country . Federal figures released today put the total at 7dot8 percent for May . And yesterday the Government reported that for two weeks ended May 24 the seasonally adjusted total of 1 ,348 ,000 initial claims for unemployment benefits was the highest since the Labor Department began adjusting the report for seasonal changes in 1967 . A Severe Problem Unemployment is expecially severe in the old industrial cities of the Middle West x bad in Cleveland x worse in Akron x worst in Detroit . Here in southern Wisconsin x where the unemployment rates are generally several points below the national average x the rate of new claims for joblessness compensation is rising more rapidly than in any other part of the country . And for Mrs Garcia x the number of newly unemployed men and women murmuring their stories across her desk has been the highest in the state x with 3 ,000 having come in just in the last month x to a record total of 12 ,000 applicants in the three counties west of Milwaukee so far this year . A month ago x her husband x Victor x was laid off by International Harvester . ''I know what it's like ,'' she said . ''My husband has stood in that line xtoo . I know what it's like to suddenly have to start counting your pennies .'' Job Moved to Tennessee ''It's so depressing ,'' said Patti Bergeron with an attempt at a smile that (never) not reached her eyes . She had been making heating and cooling condenser coils for car and truck heaters for $6 an hour until November x when the factory moved to Tennessee . A saloon keeper offered her a job tending bar for $3 .80 an hour x but the way Mrs Bergeron wrinkled her nose when she said it made it clear she thought the offer was distasteful x and besides it would mean working past midnight and leaving Andy x her 4 year old x with a babysitter . ''I am note it if I don't have to ,'' she said x ''but I have been looking for months and I may not choice .'' Choice is a luxury that is not open to Joann Genetti x either x even though she has bachelor's degrees in psychology and fine arts . At 28 x she has (never) not used them professionally x must still live with her mother because she can not afford to move out on her own x and her $4 an hour job running an offset press in a friend's printing shop is drying up . Rejections for Being Overqualified So she went into the Wisconsin Job Service office yesterday to register for unemployment compensation and to see what else was available . It was not . ''Wherever I go now ,'' she said x ''they say I am overqualified . They think x 'With two degrees x she's not work xtogether . I think there will be 50 million people going to computer school next year .'' Still x not of the men and women who lined up in front of Mrs Garcia's desk felt so bereft of options x and many took their forced idleness calmly . ''It will get better x it will turn around ,'' many would say x especially the skilled construction and industrial workers for whom the occasional layoff is just a part of life . ''I will not out too xlong ,'' said Charles Kundle x a steamfitter whose union job at a power plant paid $13 .21 an hour plus fringes . ''When you finish a job you just go home for awhile and something else comes up . And one thing about my trade x if things get rough I can always travel to Arizona or California x because there's always work out there .'' John H . Givens x director of the Milwaukee area Wisconsin Job Service x is familiar with the ungrudging fatalism with which many of his clients view the lose xproductivity x that if I am not working for this employer I will be working for someone else x or there will be unemployment benefits x or union benefits or some other benefits that will still feed my family .'' The economic pie in Wisconsin is x in fact x shrinking sharply in the current recession . The state unemployment report for April called the rise in the number of new claims for unemployment benefits ''shocking'' x April's weekly average of 19 ,000 new claims far outstripped the earlier record of 11 ,900 a week in April 1975 at the height of the last recession . The state's index of help wanted ads has fallen 22 points since February x even though it should be rising as spring advances into summer . Here in the Waukesha area x the unemployment rate was just 3dot1 percent in March x 1979 . It rose to 4dot5 percent for the same month this year x and is still advancing rapidly . The average workweek is shrinking x and so are average weekly earnings . Copyright 1980 The New York Times Company ","Negative",5408
